obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""1813""","=""7""","=""""","=""1.25e+06""",A,"=""(1694.8190)""","=""(1695.5030)""","=""1s.5s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",3,3,,"=""T5231c4,LS""","=""""",
"=""""","=""1832""","=""7""","=""""","=""1.22e+06""",A,"=""(1694.8190)""","=""(1695.4957)""","=""1s.5s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""0""",3,1,,"=""T5231c4,LS""","=""""",
"=""""","=""2373""","=""12""","=""""","=""5.72e+05""",A,"=""(1695.5029)""","=""(1696.0254)""","=""1s.5s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5231c4""","=""""",
"=""""","=""2692""","=""10""","=""""","=""5.75e+04""",A,"=""(1578.8527)""","=""(1579.3133)""","=""1s.3d""","=""1D""","=""2""","=""1s.3p""","=""1P*""","=""1""",5,3,,"=""T5231c4""","=""""",
"=""""","=""3050""","=""20""","=""""","=""1.63e+05""",A,"=""(1695.4957)""","=""(1695.9022)""","=""1s.5p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",1,3,,"=""T5231c4,LS""","=""""",
"=""""","=""3092""","=""21""","=""""","=""2.10e+05""",A,"=""(1695.5030)""","=""(1695.9040)""","=""1s.5p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",3,5,,"=""T5231c4,LS""","=""""",
"=""""","=""3105""","=""21""","=""""","=""1.16e+05""",A,"=""(1695.5030)""","=""(1695.9022)""","=""1s.5p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",3,3,,"=""T5231c4,LS""","=""""",
"=""""","=""3245""","=""25""","=""""","=""2.45e+05""",A,"=""(1695.5312)""","=""(1695.913)""","=""1s.5p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",5,7,,"=""T5231c4,LS""","=""""",
"=""""","=""3326""","=""24""","=""""","=""5.64e+04""",A,"=""(1695.5312)""","=""(1695.9040)""","=""1s.5p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",5,5,,"=""T5231c4,LS""","=""""",
"=""""","=""3342""","=""24""","=""""","=""6.22e+03""",A,"=""(1695.5312)""","=""(1695.9022)""","=""1s.5p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",5,3,,"=""T5231c4,LS""","=""""",
"=""""","=""7042""","=""100""","=""""","=""1.42e+04""",A,"=""(1658.8900)""","=""(1659.0660)""","=""1s.4d""","=""1D""","=""2""","=""1s.4p""","=""1P*""","=""1""",5,3,,"=""T5231c4""","=""""",
"=""""","=""14510""","=""420""","=""""","=""4.20e+03""",A,"=""(1695.9399)""","=""(1696.0254)""","=""1s.5d""","=""1D""","=""2""","=""1s.5p""","=""1P*""","=""1""",5,3,,"=""T5231c4""","=""""",
