obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""434.6701""","=""0.0020""","=""434.6696""","=""0.0015""","=""20*""","=""""",,"=""18.57583601""","=""21.428214""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""2""",5,5,,"=""""","=""L3469""",
"=""434.6701""","=""0.0020""","=""434.6687""","=""0.0015""","=""20*""","=""""",,"=""18.57583601""","=""21.428220""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""3""",5,7,,"=""""","=""L3469""",
"=""434.6984""","=""0.0020""","=""434.6970""","=""0.0017""","=""10""","=""""",,"=""18.61270528""","=""21.464903""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""2""",3,5,,"=""""","=""L3469""",
"=""434.7258""","=""0.0020""","=""434.7235""","=""0.0019""","=""150""","=""""",,"=""18.57583601""","=""21.427860""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""3""",5,7,,"=""""","=""L3469""",
"=""435.8523""","=""0.0020""","=""435.8514""","=""0.0011""","=""20""","=""""",,"=""18.63679156""","=""21.481435""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""",5,3,,"=""""","=""L3469""",
"=""435.9143""","=""0.0020""","=""435.9126""","=""0.0010""","=""50""","=""""",,"=""18.57583601""","=""21.420080""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",5,3,,"=""""","=""L3469""",
"=""436.0041""","=""0.0020""","=""436.0034""","=""0.0011""","=""20""","=""""",,"=""18.57583601""","=""21.419488""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",5,5,,"=""""","=""L3469""",
"=""436.3916""","=""0.0020""","=""436.3919""","=""0.0011""","=""300""","=""""",,"=""18.55510805""","=""21.396228""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""3""",7,7,,"=""""","=""L3469""",
"=""436.4454""","=""0.0020""","=""436.4456""","=""0.0008""","=""20""","=""""",,"=""18.55510805""","=""21.395879""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",7,5,,"=""""","=""L3469""",
"=""436.4750""","=""0.0001""","=""436.47503""","=""0.00010""","=""700""","=""""",,"=""18.55510805""","=""21.3956874""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[7/2]*""","=""4""",7,9,,"=""""","=""L7292""",
