obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""202.284""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""202.848""","=""""","=""1000w""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""202.879""","=""""","=""500w""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""204.523""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""204.959""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""205.034""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""205.746""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""206.704""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""206.968""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""207.804""","=""""","=""900""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""207.879""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""208.489""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""209.071""","=""""","=""600""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""209.091""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""209.481""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""209.545""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""209.860""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""210.064""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""212.392""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""217.046""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""217.483""","=""""","=""700""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""217.755""","=""""","=""900""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""218.254""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""218.555""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""218.581""","=""""","=""600""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""221.264""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""221.311""","=""""","=""600""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""221.590""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""222.124""","=""""","=""900""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""222.811""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""328.844""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""354.153""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""360.275""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""361.703""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""424.737""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""508.062""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""510.145""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""511.846""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""525.369""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""536.708""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""545.559""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""547.620""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""567.269""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""594.830""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""621.483""","=""""","=""100s""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""623.293""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""624.037""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L457""",
"=""627.545""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L457""",
