obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""390.163""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""392.290""","=""""","=""610""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""393.064""","=""""","=""1200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""396.778""","=""""","=""490""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""396.938""","=""""","=""990""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""397.462""","=""""","=""660""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""397.641""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""398.273""","=""""","=""200w""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""400.873""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""401.338""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""402.512""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""402.606""","=""""","=""770""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""402.834""","=""""","=""990""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""403.009""","=""""","=""240""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""403.118""","=""""","=""490""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""403.703""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""404.336""","=""""","=""240""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""404.472""","=""""","=""610""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""404.570""","=""""","=""490""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""405.162""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""405.618""","=""""","=""770""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""405.686""","=""""","=""600""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""406.268""","=""""","=""330""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""406.531""","=""""","=""1500""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""407.385""","=""""","=""2000""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""407.608""","=""""","=""310""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""407.768""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""407.946""","=""""","=""240""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""408.237""","=""""","=""2000""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""410.956""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""412.262""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""415.381""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""416.753""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""418.450""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""418.874""","=""""","=""660""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""419.594""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""420.027""","=""""","=""610""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""420.264""","=""""","=""610""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""421.505""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""422.895""","=""""","=""2000""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""423.725""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""424.050""","=""""","=""2000""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""424.153""","=""""","=""770""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""424.239""","=""""","=""770""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""424.288""","=""""","=""1200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""426.922""","=""""","=""310""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""428.340""","=""""","=""550""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""429.600""","=""""","=""550""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""430.410""","=""""","=""310""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""434.235""","=""""","=""550""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""434.911""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""436.204""","=""""","=""310""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""436.768""","=""""","=""350""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""441.428""","=""""","=""190""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""442.170""","=""""","=""240""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""442.848""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""443.273""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""445.868""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""446.816""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""447.156""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""447.181""","=""""","=""190""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""450.838""","=""""","=""550""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""453.702""","=""""","=""610""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""454.349""","=""""","=""490""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""455.429""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""455.641""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""455.680""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""457.680""","=""""","=""490""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""458.357""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""459.184""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""460.386""","=""""","=""350""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""460.571""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""462.771""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""463.528""","=""""","=""700""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""464.613""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""468.473""","=""""","=""260""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""468.911""","=""""","=""2300""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""468.976""","=""""","=""510""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""470.911""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""471.140""","=""""","=""1900""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""471.324""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""471.894""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""472.044""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""473.365""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""474.081""","=""""","=""1400""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""476.411""","=""""","=""190""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""477.364""","=""""","=""870""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""478.626""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""479.001""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""480.721""","=""""","=""260""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""481.081""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""481.639""","=""""","=""190""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""481.698""","=""""","=""700""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""482.564""","=""""","=""280""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""482.939""","=""""","=""190""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""484.013""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""485.272""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""486.742""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""488.260""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""488.496""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""499.615""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""501.286""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""504.799""","=""""","=""250""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""506.180""","=""""","=""85""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""506.632""","=""""","=""360""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""506.663""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""507.167""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""507.539""","=""""","=""75""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""507.967""","=""""","=""470""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""508.668""","=""""","=""85""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""511.667""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""512.185""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""513.483""","=""""","=""85""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""515.689""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""515.944""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
