Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""",4,"=""""","=""22.574515""","=""""","=""""","=""  53         :    44  3s2.3p2.(1S).3d 2D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""",6,"=""""","=""22.694304""","=""""","=""""","=""  53         :    44  3s2.3p2.(1S).3d 2D   ""","="""""
"=""3s2.3p2.(1D).3d""","=""2P""","=""3/2""",4,"=""""","=""23.040936""","=""""","=""""","=""  73         :    26  3s.3p4.(3P)     2P   ""","="""""
"=""3s2.3p2.(1D).3d""","=""2P""","=""1/2""",2,"=""""","=""23.088297""","=""""","=""""","=""  76         :    24  3s.3p4.(3P)     2P   ""","="""""
"=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""",6,"=""""","=""23.357325""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",4,"=""""","=""23.364515""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(1D).3d""","=""2D""","=""5/2""",6,"=""""","=""24.171809""","=""""","=""""","=""  60         :    17  3s.3p4.(1D)     2D   ""","="""""
"=""3s2.3p2.(1D).3d""","=""2D""","=""3/2""",4,"=""""","=""24.210117""","=""""","=""""","=""  62         :    18  3s.3p4.(1D)     2D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""",6,"=""""","=""24.317916""","=""""","=""""","=""  57         :    42  3s2.3p2.(1D)    2F   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2F""","=""7/2""",8,"=""""","=""24.319917""","=""""","=""""","=""  58         :    42  3s2.3p2.(1D)    2F   ""","="""""
"=""3s.3p4.(3P)""","=""2P""","=""1/2""",2,"=""""","=""24.652429""","=""""","=""""","=""  47         :    33  3s2.3p2.(3P).3d 2P   ""","="""""
"=""3s.3p4.(3P)""","=""2P""","=""3/2""",4,"=""""","=""24.670846""","=""""","=""""","=""  46         :    33  3s2.3p2.(3P).3d 2P   ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""",2,"=""""","=""24.929802""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",4,"=""""","=""24.961853""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",6,"=""""","=""25.015530""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""",8,"=""""","=""25.090263""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""",2,"=""""","=""25.295412""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",4,"=""""","=""25.308155""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",6,"=""""","=""25.359846""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",4,"=""""","=""25.421347""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""",6,"=""""","=""25.53416""","=""?""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",4,"=""""","=""25.533065""","=""""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""2P*""","=""1/2""",2,"=""""","=""25.91800""","=""?""","=""""","=""                                           ""","="""""
