obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""226.965""","=""226.956""","=""500""","=""1.1e+08""",D,"=""24.961853""","=""30.42478?""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p2.(3P).5s""","=""4P""","=""3/2""",4,4,,"=""T1619CA,LS""","=""L480""",
"=""227.904""","=""227.899""","=""500""","=""1.8e+08""",D,"=""24.929802""","=""30.37012?""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""","=""3s2.3p2.(3P).5s""","=""4P""","=""1/2""",2,2,,"=""T1619CA,LS""","=""L480""",
"=""228.463""","=""228.464""","=""700""","=""2.7e+08""",D,"=""25.090263""","=""30.51712?""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""","=""3s2.3p2.(3P).5s""","=""4P""","=""5/2""",8,6,,"=""T1619CA,LS""","=""L480""",
"=""""","=""229.208""","=""""","=""2.2e+08""",D,"=""25.015530""","=""30.42478?""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p2.(3P).5s""","=""4P""","=""3/2""",6,4,,"=""T1619CA,LS""","=""""",
"=""""","=""229.2450""","=""""","=""3.4e+07""",D,"=""25.421347""","=""30.829717""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4d""","=""2D""","=""5/2""",4,6,,"=""T1619CA,LS""","=""""",
"=""""","=""229.250""","=""""","=""1.8e+08""",D,"=""24.961853""","=""30.37012?""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p2.(3P).5s""","=""4P""","=""1/2""",4,2,,"=""T1619CA,LS""","=""""",
"=""""","=""229.9246""","=""""","=""4.2e+08""",D,"=""25.421347""","=""30.813731""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4d""","=""2D""","=""3/2""",4,4,,"=""T1619CA,LS""","=""""",
"=""232.421""","=""""","=""600""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""233.717""","=""""","=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L495""",
"=""234.136""","=""234.129""","=""600""","=""4.2e+08""",D,"=""25.53416?""","=""30.829717""","=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).4d""","=""2D""","=""5/2""",6,6,,"=""T1619CA,LS""","=""L495""",
"=""""","=""234.838""","=""""","=""4.7e+07""",D,"=""25.53416?""","=""30.813731""","=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).4d""","=""2D""","=""3/2""",6,4,,"=""T1619CA,LS""","=""""",
"=""236.039""","=""236.037""","=""600""","=""3.0e+08""",D,"=""26.84563?""","=""32.09837?""","=""3s2.3p2.(1D).4p""","=""2F*""","=""5/2""","=""3s2.3p2.(1D).5s""","=""2D""","=""3/2""",6,4,,"=""T1619CA,LS""","=""L495""",
"=""""","=""236.065""","=""""","=""1.4e+07""",E,"=""26.84563?""","=""32.09775?""","=""3s2.3p2.(1D).4p""","=""2F*""","=""5/2""","=""3s2.3p2.(1D).5s""","=""2D""","=""5/2""",6,6,,"=""T1619CA,LS""","=""""",
"=""237.109""","=""237.105""","=""600""","=""2.8e+08""",D,"=""26.86867?""","=""32.09775?""","=""3s2.3p2.(1D).4p""","=""2F*""","=""7/2""","=""3s2.3p2.(1D).5s""","=""2D""","=""5/2""",8,6,,"=""T1619CA,LS""","=""L495""",
"=""""","=""237.334""","=""""","=""1.1e+07""",D,"=""24.929802""","=""30.15385?""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""","=""3s2.3p2.(3P).4d""","=""4P""","=""1/2""",2,2,,"=""T1619CA,LS""","=""""",
"=""""","=""238.0114""","=""""","=""1.1e+06""",E,"=""24.929802""","=""30.138972""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""","=""3s2.3p2.(3P).4d""","=""4P""","=""3/2""",2,4,,"=""T1619CA,LS""","=""""",
"=""""","=""238.021""","=""""","=""6.2e+07""",D,"=""25.308155""","=""30.51712?""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""","=""3s2.3p2.(3P).5s""","=""4P""","=""5/2""",4,6,,"=""T1619CA,LS""","=""""",
"=""""","=""238.799""","=""""","=""1.1e+07""",D,"=""24.961853""","=""30.15385?""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p2.(3P).4d""","=""4P""","=""1/2""",4,2,,"=""T1619CA,LS""","=""""",
"=""""","=""239.4849""","=""""","=""7.0e+06""",D,"=""24.961853""","=""30.138972""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p2.(3P).4d""","=""4P""","=""3/2""",4,4,,"=""T1619CA,LS""","=""""",
"=""""","=""240.406""","=""""","=""1.4e+08""",D,"=""25.359846""","=""30.51712?""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""","=""3s2.3p2.(3P).5s""","=""4P""","=""5/2""",6,6,,"=""T1619CA,LS""","=""""",
