obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""1519.8""","=""""","=""8.25e+03""",D+,"=""125.7000""","=""126.5158""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""3""","=""2s.2p4.(2D).3s""","=""3D""","=""2""",7,5,,"=""c57,LS""","=""""",
"=""""","=""1533.3""","=""""","=""3.57e+04""",C+,"=""125.7072""","=""126.5158""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""2""","=""2s.2p4.(2D).3s""","=""3D""","=""2""",5,5,,"=""c57,LS""","=""""",
"=""""","=""1541.3""","=""""","=""7.61e+03""",D+,"=""125.7114""","=""126.5158""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""1""","=""2s.2p4.(2D).3s""","=""3D""","=""2""",3,5,,"=""c57,LS""","=""""",
"=""""","=""1550.9""","=""""","=""1.24e+04""",D+,"=""125.7072""","=""126.5067""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""2""","=""2s.2p4.(2D).3s""","=""3D""","=""1""",5,3,,"=""c57,LS""","=""""",
"=""""","=""1554.0""","=""""","=""8.15e+02""",E,"=""126.5067""","=""127.304""","=""2s.2p4.(2D).3s""","=""3D""","=""1""","=""2s2.2p3.(4S*).5d?""","=""3D*?""","=""2""",3,5,,"=""c57,LS""","=""""",
"=""""","=""1554.0""","=""""","=""4.09e+03""",D,"=""126.5067""","=""127.304""","=""2s.2p4.(2D).3s""","=""3D""","=""1""","=""2s2.2p3.(4S*).5d?""","=""3D*?""","=""1""",3,3,,"=""c57,LS""","=""""",
"=""""","=""1559.1""","=""""","=""3.68e+04""",C,"=""125.7114""","=""126.5067""","=""2s2.2p3.(2D*).4d""","=""3D*""","=""1""","=""2s.2p4.(2D).3s""","=""3D""","=""1""",3,3,,"=""c57,LS""","=""""",
"=""""","=""1572.1""","=""""","=""5.84e+02""",E,"=""126.5158""","=""127.304""","=""2s.2p4.(2D).3s""","=""3D""","=""2""","=""2s2.2p3.(4S*).5d?""","=""3D*?""","=""3""",5,7,,"=""c57,LS""","=""""",
"=""""","=""1572.1""","=""""","=""1.31e+03""",E,"=""126.5158""","=""127.304""","=""2s.2p4.(2D).3s""","=""3D""","=""2""","=""2s2.2p3.(4S*).5d?""","=""3D*?""","=""1""",5,3,,"=""c57,LS""","=""""",
"=""""","=""1572.1""","=""""","=""3.64e+03""",D,"=""126.5158""","=""127.304""","=""2s.2p4.(2D).3s""","=""3D""","=""2""","=""2s2.2p3.(4S*).5d?""","=""3D*?""","=""2""",5,5,,"=""c57,LS""","=""""",
