obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""195.3295""","=""0.0024""","=""195.3271""","=""0.0007""","=""240q""","=""1.7e+06""",C,"=""27.998883""","=""34.346400""","=""3s2.3p5.3d""","=""1D*""","=""2""","=""3s2.3p5.4p""","=""3D""","=""3""",5,7,,"=""u33""","=""L262""",
"=""195.3546""","=""0.0008""","=""195.3549""","=""0.0005""","=""1200""","=""4.7e+07""",C,"=""28.197988""","=""34.544603""","=""3s2.3p5.3d""","=""3D*""","=""1""","=""3s2.3p5.4p""","=""3D""","=""1""",3,3,,"=""T7942""","=""L262""",
"=""195.8149""","=""0.0008""","=""195.81508""","=""0.00023""","=""430""","=""4.2e+06""",C,"=""34.346400""","=""40.678098""","=""3s2.3p5.4p""","=""3D""","=""3""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""",7,5,,"=""u33""","=""L262""",
"=""195.8971""","=""0.0008""","=""195.8967""","=""0.0005""","=""1100""","=""1.09e+07""",C,"=""28.061785""","=""34.390844""","=""3s2.3p5.3d""","=""3D*""","=""3""","=""3s2.3p5.4p""","=""3D""","=""2""",7,5,,"=""T7942""","=""L262""",
"=""196.4614""","=""0.0008""","=""196.46184""","=""0.00023""","=""2600""","=""4.1e+08""",B,"=""34.346400""","=""40.657254""","=""3s2.3p5.4p""","=""3D""","=""3""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",7,5,,"=""u33""","=""L262""",
"=""196.7936""","=""0.0008""","=""196.79283""","=""0.00023""","=""2600""","=""6.3e+08""",B,"=""33.747098""","=""40.047337""","=""3s2.3p5.4p""","=""3S""","=""1""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""",3,3,,"=""u33""","=""L262""",
"=""197.1992""","=""0.0008""","=""197.19926""","=""0.00019""","=""340""","=""""",,"=""34.390844""","=""40.678098""","=""3s2.3p5.4p""","=""3D""","=""2""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""",5,5,,"=""""","=""L262""",
"=""197.2823""","=""0.0008""","=""197.2821""","=""0.0006""","=""1900""","=""2.7e+07""",B,"=""28.061785""","=""34.346400""","=""3s2.3p5.3d""","=""3D*""","=""3""","=""3s2.3p5.4p""","=""3D""","=""3""",7,7,,"=""T7942""","=""L262""",
"=""197.7013""","=""0.0008""","=""197.70172""","=""0.00023""","=""1100""","=""1.22e+08""",B,"=""34.390844""","=""40.662119""","=""3s2.3p5.4p""","=""3D""","=""2""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""",5,3,,"=""u33""","=""L262""",
"=""197.8551""","=""0.0008""","=""197.85521""","=""0.00020""","=""1100""","=""7.0e+07""",B,"=""34.390844""","=""40.657254""","=""3s2.3p5.4p""","=""3D""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",5,5,,"=""u33""","=""L262""",
"=""198.1192""","=""0.0008""","=""198.1195""","=""0.0003""","=""1400""","=""7.0e+08""",B,"=""33.747098""","=""40.005148""","=""3s2.3p5.4p""","=""3S""","=""1""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""0""",3,1,,"=""u33""","=""L262""",
"=""198.9512""","=""0.0008""","=""198.95093""","=""0.00020""","=""800""","=""6.0e+07""",C,"=""34.856862""","=""41.088760""","=""3s2.3p5.4p""","=""1P""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",3,3,,"=""u33""","=""L262""",
"=""200.0311""","=""0.0008""","=""200.0308""","=""0.0004""","=""1400""","=""1.5e+07""",D+,"=""28.192588""","=""34.390844""","=""3s2.3p5.3d""","=""3D*""","=""2""","=""3s2.3p5.4p""","=""3D""","=""2""",5,5,,"=""T7942""","=""L262""",
"=""200.0567""","=""0.0008""","=""200.05694""","=""0.00024""","=""600""","=""""",,"=""34.544603""","=""40.742048""","=""3s2.3p5.4p""","=""3D""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""",3,5,,"=""""","=""L262""",
"=""200.1543""","=""0.0008""","=""200.15436""","=""0.00024""","=""1400""","=""2.6e+08""",B,"=""34.544603""","=""40.739032""","=""3s2.3p5.4p""","=""3D""","=""1""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",3,3,,"=""u33""","=""L262""",
"=""200.2050""","=""0.0008""","=""200.2052""","=""0.0004""","=""1100""","=""4.9e+06""",C,"=""28.197988""","=""34.390844""","=""3s2.3p5.3d""","=""3D*""","=""1""","=""3s2.3p5.4p""","=""3D""","=""2""",3,5,,"=""T7942""","=""L262""",
"=""200.3636""","=""0.0008""","=""200.3634""","=""0.0004""","=""1100""","=""3.0e+08""",B,"=""34.856862""","=""41.044828""","=""3s2.3p5.4p""","=""1P""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",3,1,,"=""u33""","=""L262""",
"=""201.4754""","=""0.0008""","=""201.4754""","=""0.0005""","=""1000""","=""3.2e+06""",C,"=""28.192588""","=""34.346400""","=""3s2.3p5.3d""","=""3D*""","=""2""","=""3s2.3p5.4p""","=""3D""","=""3""",5,7,,"=""T7942""","=""L262""",
"=""201.9348""","=""0.0008""","=""201.93470""","=""0.00024""","=""1300""","=""3.5e+08""",B,"=""34.948944""","=""41.088760""","=""3s2.3p5.4p""","=""3P""","=""2""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",5,3,,"=""u33""","=""L262""",
"=""202.1424""","=""0.0008""","=""202.14279""","=""0.00025""","=""1000""","=""""",,"=""34.544603""","=""40.678098""","=""3s2.3p5.4p""","=""3D""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""",3,5,,"=""""","=""L262""",
"=""202.6703""","=""0.0008""","=""202.67080""","=""0.00025""","=""1000""","=""2.16e+08""",B,"=""34.544603""","=""40.662119""","=""3s2.3p5.4p""","=""3D""","=""1""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""",3,3,,"=""u33""","=""L262""",
