obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""741.026""","=""0.021""","=""741.031""","=""0.013""","=""380""","=""1.3e+07""",D+,"=""11.4397872""","=""13.11292""","=""5s2.7p""","=""2P*""","=""3/2""","=""5s2.8d""","=""2D""","=""5/2""",4,6,,"=""T9352""","=""L3368""",
"=""773.17""","=""0.10""","=""773.04""","=""0.07""","=""450""","=""""",,"=""12.3563865""","=""13.96024""","=""5s2.5f""","=""2F*""","=""7/2""","=""5s2.11d""","=""2D""","=""5/2""",8,6,,"=""""","=""L17864""",
"=""774.3555""","=""0.0003""","=""774.3554""","=""0.0003""","=""500""","=""1.89e+07""",B+,"=""7.3725320""","=""8.97365992""","=""5s.5p2""","=""2D""","=""5/2""","=""5s2.6p""","=""2P*""","=""3/2""",6,4,,"=""T8718""","=""L3149""",
"=""""","=""""","=""774.73""","=""0.03""","=""m""","=""""",,"=""12.3570497""","=""13.95741""","=""5s2.5f""","=""2F*""","=""5/2""","=""5s2.11d""","=""2D""","=""3/2""",6,4,,"=""""","=""L17864""",
"=""782.812""","=""0.009""","=""782.812""","=""0.006""","=""190""","=""4.7e+06""",D+,"=""11.3946370""","=""12.978469""","=""5s2.7p""","=""2P*""","=""1/2""","=""5s2.9s""","=""2S""","=""1/2""",2,2,,"=""T9352""","=""L3149""",
"=""790.5706""","=""0.0004""","=""790.5706""","=""0.0003""","=""280""","=""1.96e+07""",B+,"=""7.2957486""","=""8.8640361""","=""5s.5p2""","=""2D""","=""3/2""","=""5s2.6p""","=""2P*""","=""1/2""",4,2,,"=""T8718""","=""L3149""",
"=""805.794""","=""0.009""","=""805.782""","=""0.006""","=""53""","=""8.6e+06""",D+,"=""11.4397872""","=""12.978469""","=""5s2.7p""","=""2P*""","=""3/2""","=""5s2.9s""","=""2S""","=""1/2""",4,2,,"=""T9352""","=""L3149""",
"=""906.1367""","=""0.0004""","=""906.1372""","=""0.0003""","=""2600*""","=""6.8e+07""",D+,"=""11.0703327""","=""12.4386045""","=""5s2.4f""","=""2F*""","=""7/2""","=""5s2.5g""","=""2G""","=""9/2""",8,10,,"=""T9352""","=""L3149""",
"=""906.1367""","=""0.0004""","=""906.1372""","=""0.0003""","=""2600*""","=""2.4e+06""",D+,"=""11.0703327""","=""12.4386045""","=""5s2.4f""","=""2F*""","=""7/2""","=""5s2.5g""","=""2G""","=""7/2""",8,8,,"=""T9352""","=""L3149""",
"=""906.6146""","=""0.0005""","=""906.6137""","=""0.0004""","=""2200""","=""6.5e+07""",D+,"=""11.0710518""","=""12.4386045""","=""5s2.4f""","=""2F*""","=""5/2""","=""5s2.5g""","=""2G""","=""7/2""",6,8,,"=""T9352""","=""L3149""",
"=""1061.0340""","=""0.0006""","=""1061.0335""","=""0.0006""","=""1300""","=""4.9e+07""",D+,"=""11.1885267""","=""12.3570497""","=""5s2.6d""","=""2D""","=""3/2""","=""5s2.5f""","=""2F*""","=""5/2""",4,6,,"=""T9352""","=""L3149""",
"=""1074.2199""","=""0.0006""","=""1074.2195""","=""0.0005""","=""1200""","=""5.1e+07""",D+,"=""11.2022072""","=""12.3563865""","=""5s2.6d""","=""2D""","=""5/2""","=""5s2.5f""","=""2F*""","=""7/2""",6,8,,"=""T9352""","=""L3149""",
"=""""","=""""","=""2352.114""","=""0.022""","=""""","=""6.94e-01""",A+,"=""0.000000""","=""0.5271181""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s2.5p""","=""2P*""","=""3/2""",2,4,M1,"=""T6406""","=""""",
