Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
C 1Fo;v=2s2.2p.4d,C 1D;v=2s2.2p.4p,4.2726e-07,-0.26994456794359856
C 1Fo;v=2s2.2p.4d,C 3D;v=2s2.2p.4p,1.5745e-05,-0.39237613954339956
C 1Fo;v=2s2.2p.4d,C 3D;v=2s2.2p.3p,2.4385e-05,-1.7676887274927093
C 2[7/2];v=2s2.2p(2Po_3/2)4f,C 3Fo;v=2s2.2p.3d,9.6497e-08,-0.7174924030435399
C 2[7/2];v=2s2.2p(2Po_3/2)4f,C 3Do;v=2s2.2p.3d,2.907e-07,-0.70578856470528
C 2[7/2];v=2s2.2p(2Po_3/2)4f,C 1Do;v=2s2.2p.3d,4.7619e-07,-0.7818759120377603
C 2[7/2];v=2s2.2p(2Po_3/2)4f,C 1Fo;v=2s2.2p.3d,2.9412e-06,-0.6765165707258198
C 2[7/2];v=2s2.2p(2Po_3/2)4f,C 3Do;v=2s.2p3,1.4084e-05,-2.4667699017944207
C 2[5/2];v=2s2.2p(2Po_3/2)4f,C 1Po;v=2s2.2p.3d,1.7363e-07,-0.6548818271873689
C 2[5/2];v=2s2.2p(2Po_3/2)4f,C 3Po;v=2s2.2p.3d,3.2796e-07,-0.5814972730304593
C 2[5/2];v=2s2.2p(2Po_3/2)4f,C 3Do;v=2s2.2p.3d,3.8838e-07,-0.7091608571077792
C 2[5/2];v=2s2.2p(2Po_3/2)4f,C 1Po;v=2s2.2p.4s,4.4275e-07,-0.7033585304739898
C 2[5/2];v=2s2.2p(2Po_3/2)4f,C 1Do;v=2s2.2p.3d,6.325e-07,-0.7852482044402596
C 2[9/2];v=2s2.2p(2Po_3/2)4f,C 1Fo;v=2s2.2p.3d,1.0204e-07,-0.6802484090095202
C 2[9/2];v=2s2.2p(2Po_3/2)4f,C 3Fo;v=2s2.2p.3d,1.8868e-07,-0.7212242413272403
C 2[9/2];v=2s2.2p(2Po_3/2)4f,C 3Do;v=2s2.2p.3d,2.439e-06,-0.7095204029889803
C 1Po;v=2s2.2p.4d,C 1S;v=2s2.2p2,2.1854e-08,-7.73446420844739
C 1Po;v=2s2.2p.4d,C 1D;v=2s2.2p2,3.278e-08,-9.15470763340706
C 1Po;v=2s2.2p.4d,C 1P;v=2s2.2p.3p,1.9283e-07,-1.88150359607876
C 1Po;v=2s2.2p.4d,C 1P;v=2s2.2p.4p,2.6579e-07,-0.4301160589308495
C 1Po;v=2s2.2p.4d,C 3P;v=2s2.2p2,7.0094e-07,-10.4184122205926
C 2[3/2];v=2s2.2p(2Po_3/2)4f,C 3Po;v=2s2.2p.3d,1.2798e-07,-0.5843364456781597
C 2[3/2];v=2s2.2p(2Po_3/2)4f,C 3Po;v=2s.2p3,4.2125e-07,-1.0885685486620194
C 2[3/2];v=2s2.2p(2Po_3/2)4f,C 3Do;v=2s2.2p.3d,4.2772e-07,-0.7120000297554796
C 2[3/2];v=2s2.2p(2Po_3/2)4f,C 3Po;v=2s2.2p.4s,4.6975e-07,-0.7353705120304905
C 2[3/2];v=2s2.2p(2Po_3/2)4f,C 1Do;v=2s2.2p.3d,8.8655e-07,-0.78808737708796
C 3Po;v=2s2.2p.4d,C 3P;v=2s2.2p2,1.378e-08,-10.4294589578377
C 3Po;v=2s2.2p.4d,C 3P;v=2s2.2p.4p,3.5435e-07,-0.34839995883819874
C 3Po;v=2s2.2p.4d,C 3P;v=2s2.2p.3p,5.4816e-07,-1.58308051472096
C 3Po;v=2s2.2p.4d,C 3S;v=2s2.2p.4p,8.1325e-07,-0.37394011453399933
C 3Po;v=2s2.2p.4d,C 3S;v=2s2.2p.3p,9.1867e-07,-1.6585231590941287
C 5P;v=2s.2p2(4P)3s,C 5So;v=2s.2p3,4.7619e-09,-8.65475288659548
C 3So;v=2s.2p3,C 3P;v=2s2.2p2,2.924e-10,-13.1171016138651
C 3So;v=2s.2p3,C 3P;v=2s2.2p.3p,2.5445e-07,-4.2707231707483615
