obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""419.0778""","=""0.0007""","=""""","=""1.48e+07""",E,"=""17.397368""","=""20.355868""","=""3s2.3p2.(1D).4p""","=""2F*""","=""7/2""","=""3s2.3p2.(1D).4d""","=""2G""","=""7/2""",8,8,,"=""u20,LS""","=""""",
"=""419.0857""","=""0.0006""","=""419.0858""","=""0.0005""","=""5900""","=""5.7e+07""",E,"=""15.898891""","=""18.857335""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p2.(3P).4d""","=""4F""","=""5/2""",6,6,,"=""T1619CA,LS""","=""L5883""",
"=""419.3046""","=""0.0021""","=""419.3070""","=""0.0007""","=""83""","=""8.95e+06""",E,"=""17.807048""","=""20.763931""","=""3s2.3p2.(1D).4p""","=""2P*""","=""3/2""","=""3s2.3p2.(1D).4d""","=""2D""","=""3/2""",4,4,,"=""u20,LS""","=""L7425c196""",
"=""419.4675""","=""0.0006""","=""419.4672""","=""0.0005""","=""2500""","=""6.09e+06""",D+,"=""14.851293""","=""17.807048""","=""3s.3p4""","=""2S""","=""1/2""","=""3s2.3p2.(1D).4p""","=""2P*""","=""3/2""",2,4,,"=""T3186c85""","=""L5883""",
"=""421.4704""","=""0.0007""","=""421.4697""","=""0.0007""","=""310""","=""4.7e+06""",E,"=""15.898891""","=""18.840602""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p2.(3P).4d""","=""4F""","=""3/2""",6,4,,"=""T1619CA,LS""","=""L5883""",
"=""421.8367""","=""0.0006""","=""421.8369""","=""0.0005""","=""4500""","=""3.3e+07""",E,"=""15.944265""","=""18.883415""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""","=""3s2.3p2.(3P).4d""","=""4F""","=""7/2""",8,8,,"=""T1619CA,LS""","=""L5883""",
"=""421.8481""","=""0.0006""","=""421.8484""","=""0.0005""","=""1300""","=""6.23e+06""",D+,"=""14.851293""","=""17.790363""","=""3s.3p4""","=""2S""","=""1/2""","=""3s2.3p2.(1D).4p""","=""2P*""","=""1/2""",2,2,,"=""T3186c85""","=""L5883""",
"=""423.2143""","=""0.0006""","=""423.2140""","=""0.0005""","=""4500""","=""1.18e+08""",D,"=""17.445678""","=""20.375264""","=""3s2.3p2.(1D).4p""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).4d""","=""2F""","=""7/2""",6,8,,"=""u20,LS""","=""L5883""",
"=""425.1069""","=""0.0007""","=""425.1075""","=""0.0007""","=""450""","=""7.78e+06""",E,"=""17.445678""","=""20.362216""","=""3s2.3p2.(1D).4p""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).4d""","=""2F""","=""5/2""",6,6,,"=""u20,LS""","=""L5883""",
"=""425.621""","=""0.010""","=""425.6136""","=""0.0007""","=""230""","=""2.2e+06""",E,"=""15.944265""","=""18.857335""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""","=""3s2.3p2.(3P).4d""","=""4F""","=""5/2""",8,6,,"=""T1619CA,LS""","=""L7426""",
"=""425.8577""","=""0.0006""","=""425.8578""","=""0.0005""","=""4500""","=""1.08e+08""",D,"=""17.450817""","=""20.362216""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).4d""","=""2F""","=""5/2""",4,6,,"=""u20,LS""","=""L5883""",
"=""426.0345""","=""0.0006""","=""426.0347""","=""0.0005""","=""3300""","=""1.5e+08""",D,"=""17.445678""","=""20.355868""","=""3s2.3p2.(1D).4p""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).4d""","=""2G""","=""7/2""",6,8,,"=""T1619CA,LS""","=""L5883""",
"=""426.8960""","=""0.0006""","=""426.8963""","=""0.0005""","=""13000""","=""1.2e+08""",E,"=""16.100363""","=""19.004679""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""","=""3s2.3p2.(3P).4d""","=""4D""","=""5/2""",4,6,,"=""T1619CA,LS""","=""L5883""",
"=""427.0926""","=""0.0006""","=""427.0928""","=""0.0005""","=""5900""","=""7.0e+07""",E,"=""16.091641""","=""18.994622""","=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""","=""3s2.3p2.(3P).4d""","=""4D""","=""3/2""",2,4,,"=""T1619CA,LS""","=""L5883""",
"=""427.9704""","=""0.0006""","=""427.9710""","=""0.0005""","=""5900""","=""1.4e+08""",E,"=""16.091641""","=""18.988665""","=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""","=""3s2.3p2.(3P).4d""","=""4D""","=""1/2""",2,2,,"=""T1619CA,LS""","=""L5883""",
"=""428.3800""","=""0.0006""","=""428.3798""","=""0.0006""","=""5900""","=""8.9e+07""",E,"=""16.100363""","=""18.994622""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""","=""3s2.3p2.(3P).4d""","=""4D""","=""3/2""",4,4,,"=""T1619CA,LS""","=""L5883""",
"=""429.2639""","=""0.0006""","=""429.2633""","=""0.0006""","=""1800""","=""2.8e+07""",E,"=""16.100363""","=""18.988665""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""","=""3s2.3p2.(3P).4d""","=""4D""","=""1/2""",4,2,,"=""T1619CA,LS""","=""L5883""",
"=""429.5606""","=""0.0006""","=""429.5608""","=""0.0006""","=""16000""","=""1.7e+08""",D,"=""16.134579""","=""19.020881""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""","=""3s2.3p2.(3P).4d""","=""4D""","=""7/2""",6,8,,"=""T1619CA,LS""","=""L5883""",
"=""431.9860""","=""0.0006""","=""431.9857""","=""0.0006""","=""5900""","=""4.9e+07""",E,"=""16.134579""","=""19.004679""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""","=""3s2.3p2.(3P).4d""","=""4D""","=""5/2""",6,6,,"=""T1619CA,LS""","=""L5883""",
"=""433.5047""","=""0.0006""","=""433.5048""","=""0.0006""","=""1300""","=""8.2e+06""",E,"=""16.134579""","=""18.994622""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""","=""3s2.3p2.(3P).4d""","=""4D""","=""3/2""",6,4,,"=""T1619CA,LS""","=""L5883""",
"=""434.4029""","=""0.0006""","=""434.4035""","=""0.0006""","=""640""","=""1.8e+06""",E,"=""15.867045""","=""18.721171""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""","=""3s2.3p2.(3P).5s""","=""4P""","=""5/2""",4,6,,"=""T1619CA,LS""","=""L5883""",
"=""435.8091""","=""0.0006""","=""435.8095""","=""0.0006""","=""640""","=""""",,"=""17.172949""","=""20.017867""","=""3s2.3p2.(1D).3d""","=""2F""","=""5/2""","=""3s2.3p2.(3P<2>).4f""","=""2[3]*""","=""7/2""",6,8,,"=""""","=""L5883""",
"=""436.3790""","=""0.0007""","=""436.3774""","=""0.0006""","=""210""","=""""",,"=""16.534639""","=""19.375854""","=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""","=""3s2.3p2.(1S).4p""","=""2P*""","=""3/2""",4,4,,"=""""","=""L5883""",
"=""436.8290""","=""0.0010""","=""436.8292""","=""0.0011""","=""640*""","=""""",,"=""18.459583""","=""21.297859""","=""3s2.3p2.(1S).3d""","=""2D""","=""5/2""","=""3s2.3p2.(1D<2>).4f""","=""2[2]*""","=""5/2""",6,6,,"=""""","=""L5883""",
