obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""395.493""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""409.164""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""428.461""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""435.319""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""435.402""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""435.646""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""437.207""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""437.263""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""437.466""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""437.834""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""438.765""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""492.879""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""509.570""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""517.041""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""520.979""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""522.066""","=""""","=""600""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""527.006""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""531.926""","=""""","=""400""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""537.128""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""541.999""","=""""","=""350""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""549.647""","=""""","=""250bl""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""557.549""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""561.056""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""570.370""","=""""","=""75""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""577.016""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""585.234""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""596.690""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""610.256""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""637.103""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""651.434""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""664.596""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
"=""679.507""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L2987""",
