obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""37.1854""","=""0.0014""","=""""","=""9.03e+07""",D+,"=""42.61188""","=""75.9541?""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2P*).3p""","=""1D""","=""2""",3,5,,"=""T7663c11""","=""""",
"=""""","=""""","=""38.0022""","=""0.0015""","=""""","=""1.51e+08""",D+,"=""42.61188""","=""75.2375?""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2P*).3p""","=""1P""","=""1""",3,3,,"=""T7663c11""","=""""",
"=""""","=""""","=""39.5427""","=""0.0016""","=""""","=""1.12e+08""",D+,"=""42.61188""","=""73.9664""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2D*).3p""","=""1D""","=""2""",3,5,,"=""T7663c11""","=""""",
"=""40.86836""","=""0.0002""","=""40.86844""","=""0.00017""","=""12""","=""2.66e+09""",B+,"=""0.00000""","=""30.33740""","=""2s2.2p4""","=""3P""","=""2""","=""2s.2p5""","=""3P*""","=""1""",5,3,,"=""T7663c11,T6145""","=""L3834""",
"=""40.96142""","=""0.0002""","=""40.96136""","=""0.00024""","=""10""","=""6.34e+09""",B+,"=""0.13716""","=""30.40574""","=""2s2.2p4""","=""3P""","=""1""","=""2s.2p5""","=""3P*""","=""0""",3,1,,"=""T7663c11,T6145""","=""L3834""",
"=""41.03715""","=""0.0002""","=""41.03711""","=""0.00017""","=""15""","=""4.73e+09""",B+,"=""0.00000""","=""30.21271""","=""2s2.2p4""","=""3P""","=""2""","=""2s.2p5""","=""3P*""","=""2""",5,5,,"=""T7663c11,T6145""","=""L3834""",
"=""41.05411""","=""0.0002""","=""41.05405""","=""0.00024""","=""8""","=""1.57e+09""",B+,"=""0.13716""","=""30.33740""","=""2s2.2p4""","=""3P""","=""1""","=""2s.2p5""","=""3P*""","=""1""",3,3,,"=""T7663c11,T6145""","=""L3834""",
"=""41.13343""","=""0.0002""","=""41.13337""","=""0.00024""","=""10""","=""2.09e+09""",B+,"=""0.19540""","=""30.33740""","=""2s2.2p4""","=""3P""","=""0""","=""2s.2p5""","=""3P*""","=""1""",1,3,,"=""T7663c11,T6145""","=""L3834""",
"=""""","=""""","=""41.1576""","=""0.0017""","=""""","=""4.27e-03""",D,"=""30.21271""","=""60.3369""","=""2s.2p5""","=""3P*""","=""2""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""",5,3,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""41.1576""","=""0.0017""","=""""","=""4.19e-02""",D+,"=""30.21271""","=""60.3369""","=""2s.2p5""","=""3P*""","=""2""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""",5,3,E2,"=""T7663c11""","=""""",
"=""41.22418""","=""0.0002""","=""41.22426""","=""0.00024""","=""13""","=""1.55e+09""",B+,"=""0.13716""","=""30.21271""","=""2s2.2p4""","=""3P""","=""1""","=""2s.2p5""","=""3P*""","=""2""",3,5,,"=""T7663c11,T6145""","=""L3834""",
"=""""","=""""","=""41.3287""","=""0.0017""","=""""","=""2.92e-03""",D,"=""30.33740""","=""60.3369""","=""2s.2p5""","=""3P*""","=""1""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""",3,3,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""41.3287""","=""0.0017""","=""""","=""7.34e-03""",D,"=""30.33740""","=""60.3369""","=""2s.2p5""","=""3P*""","=""1""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""",3,3,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""41.4231""","=""0.0017""","=""""","=""3.33e-03""",D,"=""30.40574""","=""60.3369""","=""2s.2p5""","=""3P*""","=""0""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""",1,3,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""43.42764""","=""0.00020""","=""""","=""2.51e-02""",D+,"=""30.21271""","=""58.76231+x""","=""2s.2p5""","=""3P*""","=""2""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""",5,5,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""43.42764""","=""0.00020""","=""""","=""7.21e-05""",E,"=""30.21271""","=""58.76231+x""","=""2s.2p5""","=""3P*""","=""2""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""",5,5,M1,"=""T7663c11""","=""""",
