obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""12.5813""","=""12.58134""","=""4g""","=""""",,"=""0.2762""","=""98.8223""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1S).4s""","=""2S""","=""1/2""",2,2,,"=""""","=""L1965""",
"=""12.6602""","=""12.66013""","=""1g""","=""""",,"=""0.0000""","=""97.9328""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).5s""","=""2P""","=""1/2""",4,2,,"=""""","=""L1965""",
"=""12.6799""","=""12.68019""","=""4g""","=""""",,"=""0.0000""","=""97.7779""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).5s""","=""2P""","=""3/2""",4,4,,"=""""","=""L1965""",
"=""12.6960""","=""12.69595""","=""2g""","=""""",,"=""0.2762""","=""97.9328""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).5s""","=""2P""","=""1/2""",2,2,,"=""""","=""L1965""",
"=""12.7013""","=""12.70140""","=""3g""","=""""",,"=""0.0000""","=""97.6146""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).5s""","=""4P""","=""3/2""",4,4,,"=""""","=""L1965""",
"=""12.7161""","=""12.71611""","=""1g""","=""""",,"=""0.2762""","=""97.7779""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).5s""","=""2P""","=""3/2""",2,4,,"=""""","=""L1965""",
"=""12.7375""","=""12.73744""","=""1g""","=""""",,"=""0.2762""","=""97.6146""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).5s""","=""4P""","=""3/2""",2,4,,"=""""","=""L1965""",
"=""12.9711""","=""12.97104""","=""5g""","=""8.06e+09""",E,"=""0.0000""","=""95.5854""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).4d""","=""2P""","=""3/2""",4,4,,"=""T4781""","=""L1965""",
"=""12.9857""","=""12.98575""","=""16g""","=""5.61e+10""",D+,"=""0.0000""","=""95.4771""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).4d""","=""2D""","=""5/2""",4,6,,"=""T4781""","=""L1965""",
"=""12.9966""","=""12.99679""","=""11g,bl""","=""3.27e+10""",D,"=""0.0000""","=""95.3960""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).4d""","=""2D""","=""3/2""",4,4,,"=""T4781""","=""L1965""",
"=""12.9975""","=""12.99788""","=""9g,bl""","=""1.22e+10""",E,"=""0.0000""","=""95.3880""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).4d""","=""2P""","=""1/2""",4,2,,"=""T4781""","=""L1965""",
"=""13.0086""","=""13.00864""","=""10g""","=""3.92e+10""",D,"=""0.2762""","=""95.5854""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).4d""","=""2P""","=""3/2""",2,4,,"=""T4781""","=""L1965""",
