obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""13.7394""","=""0.0008""","=""13.7394""","=""0.0008""","=""5bl""","=""""",,"=""252.07844""","=""342.318""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.4p""","=""1P""","=""1""",3,3,,"=""""","=""L4421""",
"=""13.7537""","=""0.0008""","=""13.7536""","=""0.0007""","=""6""","=""""",,"=""254.38887""","=""344.535""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.4p""","=""1D""","=""2""",3,5,,"=""""","=""L4421""",
"=""13.7656""","=""0.0008""","=""13.7655""","=""0.0008""","=""6""","=""""",,"=""252.07844""","=""342.147""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.4p""","=""3D""","=""2""",3,5,,"=""""","=""L4421""",
"=""14.2767""","=""0.0008""","=""14.2784""","=""0.0015""","=""3""","=""""",,"=""291.53708""","=""378.370""","=""2s2.2p5.3d""","=""3P*""","=""1""","=""2s2.2p5.5f""","=""3D""","=""2""",3,5,,"=""""","=""L4421""",
"=""14.3600""","=""0.0008""","=""14.3601""","=""0.0008""","=""4""","=""""",,"=""292.05007""","=""378.390""","=""2s2.2p5.3d""","=""3P*""","=""2""","=""2s2.2p5.5f""","=""1F""","=""3""",5,7,,"=""""","=""L4421""",
"=""14.426""","=""0.001""","=""14.4271""","=""0.0009""","=""*""","=""""",,"=""292.45120""","=""378.390""","=""2s2.2p5.3d""","=""3F*""","=""4""","=""2s2.2p5.5f""","=""1F""","=""3""",9,7,,"=""""","=""L9866""",
"=""14.426""","=""0.001""","=""14.4287""","=""0.0016""","=""*""","=""""",,"=""292.45120""","=""378.380""","=""2s2.2p5.3d""","=""3F*""","=""4""","=""2s2.2p5.5f""","=""3F""","=""4""",9,9,,"=""""","=""L9866""",
"=""14.4512""","=""0.0008""","=""14.4512""","=""0.0008""","=""5""","=""""",,"=""292.45120""","=""378.246""","=""2s2.2p5.3d""","=""3F*""","=""4""","=""2s2.2p5.5f""","=""3G""","=""5""",9,11,,"=""""","=""L4421""",
"=""14.5127""","=""0.0008""","=""14.5127""","=""0.0008""","=""4""","=""""",,"=""292.81735""","=""378.249""","=""2s2.2p5.3d""","=""3F*""","=""3""","=""2s2.2p5.5f""","=""1G""","=""4""",7,9,,"=""""","=""L4421""",
"=""14.5607""","=""0.0008""","=""14.5607""","=""0.0008""","=""3""","=""""",,"=""295.37718""","=""380.527""","=""2s2.2p5.3d""","=""1D*""","=""2""","=""2s2.2p5.5f""","=""3G""","=""3""",5,7,,"=""""","=""L4421""",
"=""14.6046""","=""0.0008""","=""14.6023""","=""0.0015""","=""3""","=""""",,"=""293.46316""","=""378.370""","=""2s2.2p5.3d""","=""3F*""","=""2""","=""2s2.2p5.5f""","=""3D""","=""2""",5,5,,"=""""","=""L4421""",
"=""14.6098""","=""0.0008""","=""14.6072""","=""0.0023""","=""3""","=""""",,"=""295.67305""","=""380.552""","=""2s2.2p5.3d""","=""3D*""","=""3""","=""2s2.2p5.5f""","=""3D""","=""3""",7,7,,"=""""","=""L4421""",
"=""14.612""","=""0.001""","=""14.6120""","=""0.0010""","=""bl*""","=""""",,"=""295.67305""","=""380.524""","=""2s2.2p5.3d""","=""3D*""","=""3""","=""2s2.2p5.5f""","=""3G""","=""4""",7,9,,"=""""","=""L4421""",
"=""14.612""","=""0.001""","=""14.6159""","=""0.0024""","=""bl*""","=""""",,"=""295.72389""","=""380.552""","=""2s2.2p5.3d""","=""3D*""","=""2""","=""2s2.2p5.5f""","=""3D""","=""3""",5,7,,"=""""","=""L4421""",
"=""14.6821""","=""0.0008""","=""14.6787""","=""0.0009""","=""3*""","=""""",,"=""293.92426""","=""378.390""","=""2s2.2p5.3d""","=""1F*""","=""3""","=""2s2.2p5.5f""","=""1F""","=""3""",7,7,,"=""""","=""L4421""",
"=""14.6821""","=""0.0008""","=""14.6804""","=""0.0016""","=""3*""","=""""",,"=""293.92426""","=""378.380""","=""2s2.2p5.3d""","=""1F*""","=""3""","=""2s2.2p5.5f""","=""3F""","=""4""",7,9,,"=""""","=""L4421""",
"=""14.7949""","=""0.0008""","=""14.7952""","=""0.0004""","=""5""","=""""",,"=""266.48433""","=""350.2846""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.4d""","=""3P*""","=""2""",3,5,,"=""""","=""L4421""",
"=""14.8390""","=""0.0008""","=""14.8402""","=""0.0006""","=""5""","=""""",,"=""266.48433""","=""350.031""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.4d""","=""3P*""","=""1""",3,3,,"=""""","=""L4421""",
"=""14.8651""","=""0.0008""","=""14.8651""","=""0.0008""","=""2""","=""""",,"=""266.48433""","=""349.891""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.4d""","=""3P*""","=""0""",3,1,,"=""""","=""L4421""",
"=""14.8903""","=""0.0008""","=""14.8909""","=""0.0010""","=""1""","=""""",,"=""295.20117""","=""378.463""","=""2s2.2p5.3d""","=""3D*""","=""1""","=""2s2.2p5.5f""","=""1D""","=""2""",3,5,,"=""""","=""L4421""",
"=""15.067""","=""0.001""","=""15.0670""","=""0.0010""","=""*""","=""""",,"=""271.80781""","=""354.096""","=""2s2.2p5.3p""","=""3P""","=""0""","=""2s2.2p5.4d""","=""1P*""","=""1""",1,3,,"=""""","=""L9866""",
"=""15.067""","=""0.001""","=""15.0877""","=""0.0012""","=""*""","=""""",,"=""270.56020""","=""352.736""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.4d""","=""3D*""","=""2""",5,5,,"=""""","=""L9866""",
