obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""500.354""","=""500.353+""","=""2""","=""""",,"=""11.30345525""","=""13.781389""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",3,5,,"=""""","=""L7408""",
"=""503.055""","=""503.055+""","=""5""","=""""",,"=""11.30345525""","=""13.768082""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",3,5,,"=""""","=""L7408""",
"=""504.175""","=""504.1728+""","=""7""","=""""",,"=""11.30345525""","=""13.7626160""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",3,3,,"=""""","=""L7408""",
"=""504.915""","=""504.914+""","=""1*""","=""""",,"=""11.44304735""","=""13.898598""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).13d""","=""2[7/2]*""","=""4""",7,9,,"=""""","=""L3990""",
"=""504.915""","=""504.91+""","=""1*""","=""""",,"=""11.44465635""","=""13.90022""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).13d""","=""2[5/2]*""","=""2""",5,5,,"=""""","=""L3990""",
"=""505.949""","=""505.9489+""","=""4""","=""""",,"=""11.30345525""","=""13.7539835""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""0""",3,1,,"=""""","=""L7408""",
"=""509.054""","=""509.053+""","=""2h""","=""""",,"=""11.44304735""","=""13.878631""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).12d""","=""2[7/2]*""","=""4""",7,9,,"=""""","=""L7408""",
"=""509.178""","=""509.177+""","=""1h""","=""""",,"=""11.44465635""","=""13.879648""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).12d""","=""2[7/2]*""","=""3""",5,7,,"=""""","=""L7408""",
"=""511.123""","=""511.123+""","=""2""","=""""",,"=""11.30345525""","=""13.729176""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",3,3,,"=""""","=""L7408""",
"=""514.13""","=""514.1240+""","=""1""","=""""",,"=""11.30345525""","=""13.7150173""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",3,3,,"=""""","=""L7408""",
