obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""15.366""","=""""","=""""","=""2.58e+09""",B+,"=""335.46""","=""416.15""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""1/2""",2,2,,"=""T5118c4,LS""","=""""",
"=""15.4595""","=""0.0010""","=""15.461""","=""""","=""""","=""""",,"=""258.89""","=""[339.081]""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.4f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L5314""",
"=""15.4690""","=""0.0010""","=""15.469""","=""""","=""""","=""""",,"=""258.945""","=""[339.10]""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.4f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L5314""",
"=""""","=""""","=""15.654""","=""""","=""""","=""6.12e+08""",A,"=""258.89""","=""338.094""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.4p""","=""2P*""","=""3/2""",4,4,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""15.665""","=""""","=""""","=""5.52e+09""",A+,"=""258.945""","=""338.094""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.4p""","=""2P*""","=""3/2""",6,4,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""15.673""","=""""","=""""","=""6.16e+09""",A+,"=""258.89""","=""337.996""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.4p""","=""2P*""","=""1/2""",4,2,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""15.700""","=""""","=""""","=""1.31e+10""",A+,"=""256.495""","=""335.46""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.4s""","=""2S""","=""1/2""",2,2,,"=""u35,T5331""","=""""",
"=""""","=""""","=""15.744""","=""""","=""""","=""2.65e+10""",A+,"=""256.712""","=""335.46""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.4s""","=""2S""","=""1/2""",4,2,,"=""u35,T7164,T5331""","=""""",
"=""""","=""""","=""15.82""","=""""","=""""","=""4.37e+09""",A,"=""337.996""","=""416.35""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.8d""","=""2D""","=""3/2""",2,4,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""15.84""","=""""","=""""","=""5.21e+09""",A,"=""338.094""","=""416.35""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""5/2""",4,6,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""15.84""","=""""","=""""","=""8.69e+08""",B+,"=""338.094""","=""416.35""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""3/2""",4,4,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""16.07""","=""""","=""""","=""5.84e+08""",B,"=""338.986""","=""416.15""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""1/2""",4,2,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""16.07""","=""""","=""""","=""5.87e+07""",B,"=""338.986""","=""416.15""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""3/2""",4,4,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""16.08""","=""""","=""""","=""5.27e+08""",B+,"=""339.027""","=""416.15""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.8p""","=""2P*""","=""3/2""",6,4,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""17.05""","=""""","=""""","=""3.80e+09""",A,"=""335.46""","=""408.17""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""3/2""",2,4,,"=""T5331""","=""""",
"=""""","=""""","=""17.05""","=""""","=""""","=""3.83e+09""",B+,"=""335.46""","=""408.17""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""1/2""",2,2,,"=""T5331""","=""""",
"=""""","=""""","=""17.60""","=""""","=""""","=""6.58e+09""",A,"=""337.996""","=""408.44""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.7d""","=""2D""","=""3/2""",2,4,,"=""T5331""","=""""",
"=""""","=""""","=""17.62""","=""""","=""""","=""7.86e+09""",A,"=""338.094""","=""408.44""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""5/2""",4,6,,"=""T5331""","=""""",
"=""""","=""""","=""17.62""","=""""","=""""","=""1.31e+09""",B+,"=""338.094""","=""408.44""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""3/2""",4,4,,"=""T5331""","=""""",
"=""""","=""""","=""17.92""","=""""","=""""","=""9.33e+08""",B+,"=""338.986""","=""408.17""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""1/2""",4,2,,"=""T5331""","=""""",
"=""""","=""""","=""17.92""","=""""","=""""","=""9.15e+07""",B,"=""338.986""","=""408.17""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""3/2""",4,4,,"=""T5331""","=""""",
