obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""543.030""","=""543.0346+""","=""""","=""1.9e+05""",C,"=""5.9833059""","=""8.2664792""","=""4f""","=""2F*""","=""5/2""","=""8d""","=""2D""","=""3/2""",6,4,,"=""T3225,T7387""","=""L6094""",
"=""548.182""","=""548.1777+""","=""""","=""1.8e+05""",C,"=""6.0111671""","=""8.2729189""","=""4f""","=""2F*""","=""7/2""","=""8d""","=""2D""","=""5/2""",8,6,,"=""T3225,T7387""","=""L6094""",
"=""578.578""","=""578.5755+""","=""""","=""1.59e+07""",B,"=""6.1235575""","=""8.2664792""","=""7p""","=""2P*""","=""1/2""","=""8d""","=""2D""","=""3/2""",2,4,,"=""T3225,T7387""","=""L6094""",
"=""585.5298""","=""585.5297+""","=""331""","=""6.00e+06""",B,"=""0.6042806""","=""2.7217512""","=""5d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""3/2""",4,4,,"=""T5855""","=""L9224""",
"=""598.291""","=""598.2918+""","=""""","=""1.73e+07""",B,"=""6.2006159""","=""8.2729189""","=""7p""","=""2P*""","=""3/2""","=""8d""","=""2D""","=""5/2""",4,6,,"=""T3225,T7387""","=""L6094""",
"=""600.151""","=""600.1568+""","=""""","=""2.86e+06""",B,"=""6.2006159""","=""8.2664792""","=""7p""","=""2P*""","=""3/2""","=""8d""","=""2D""","=""3/2""",4,4,,"=""T3225,T7387""","=""L6094""",
"=""613.753""","=""613.7295+""","=""""","=""6.64e+06""",B,"=""6.1235575""","=""8.1437342""","=""7p""","=""2P*""","=""1/2""","=""9s""","=""2S""","=""1/2""",2,2,,"=""T3225,T7387""","=""L6094""",
"=""614.3413""","=""614.3413+""","=""1510""","=""4.12e+07""",B,"=""0.7035864""","=""2.7217512""","=""5d""","=""2D""","=""5/2""","=""6p""","=""2P*""","=""3/2""",6,4,,"=""T5855""","=""L9224""",
"=""638.07""","=""638.0682+""","=""""","=""1.18e+07""",B,"=""6.2006159""","=""8.1437342""","=""7p""","=""2P*""","=""3/2""","=""9s""","=""2S""","=""1/2""",4,2,,"=""T3225,T7387""","=""L6094""",
"=""649.8693""","=""649.8693+""","=""900""","=""3.10e+07""",B,"=""0.6042806""","=""2.5121134""","=""5d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""1/2""",4,2,,"=""T5855""","=""L9224""",
"=""677.1345""","=""677.1348+""","=""6""","=""9.4e+07""",C,"=""5.9833059""","=""7.8143180u""","=""4f""","=""2F*""","=""5/2""","=""5g""","=""2G""","=""7/2""",6,8,,"=""T3225,T7387""","=""L9224""",
"=""687.5976""","=""687.5975+""","=""7*""","=""9.3e+07""",C,"=""6.0111671""","=""7.8143180u""","=""4f""","=""2F*""","=""7/2""","=""5g""","=""2G""","=""9/2""",8,10,,"=""T3225,T7387""","=""L9224""",
"=""687.5976""","=""687.5975+""","=""7*""","=""9.3e+07""",C,"=""6.0111671""","=""7.8143180u""","=""4f""","=""2F*""","=""7/2""","=""5g""","=""2G""","=""7/2""",8,8,,"=""T3225,T7387""","=""L9224""",
"=""871.3160""","=""871.3160+""","=""24""","=""7.88e+07""",B,"=""5.7224717""","=""7.1454250""","=""6d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""7/2""",6,8,,"=""T3225,T7387""","=""L9224""",
