obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""203.704""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""204.029""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""204.789""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""211.440""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""211.450""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""211.493""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""211.520""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""211.554""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""211.820""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""212.420""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""213.978""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""214.182""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""214.483""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""214.784""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""214.824""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""214.933""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""215.016""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""215.344""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""215.785""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""216.454""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""216.693""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""217.138""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""218.439""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""218.569""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""219.077""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""219.144""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""219.227""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""219.858""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""219.931""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""220.391""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""220.939""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""222.741""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""223.250""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""223.450""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""223.660""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""223.828""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""224.480""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""225.215""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""225.862""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""227.400""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""227.613""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""227.708""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""227.817""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""228.514""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""228.994""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""229.137""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""229.626""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""231.070""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""231.534""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""231.978""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""232.559""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""234.123""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""245.757""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""247.363""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""248.052""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""248.381""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""248.901""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""250.717""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""253.175""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""253.849""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""254.513""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""254.593""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""256.553""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""261.728""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""262.686""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""264.152""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""264.829""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""265.607""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
"=""291.742""","=""""","=""40""","=""""",,"=""""","=""""",,"=""""","=""L7485""",
