obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""316.637""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""316.689""","=""""","=""880""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""316.718""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""317.901""","=""""","=""190""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""318.250""","=""""","=""190""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""318.284""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""318.378""","=""""","=""880""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""319.282""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""321.512""","=""""","=""760""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""322.340""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""322.974""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""323.262""","=""""","=""630""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""323.751""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""324.199""","=""""","=""760""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""327.207""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""327.316""","=""""","=""540""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""327.399""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""328.020""","=""""","=""1300""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""328.566""","=""""","=""880""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""328.683""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""328.975""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""330.610""","=""""","=""540""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""330.723""","=""""","=""880""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""331.465""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""331.545""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""331.998""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""332.395""","=""""","=""380""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""332.776""","=""""","=""380""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""333.521""","=""""","=""380""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""333.558""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""333.937""","=""""","=""190""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""334.152""","=""""","=""760""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""334.575""","=""""","=""380""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""335.535""","=""""","=""180""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""335.705""","=""""","=""760""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""335.822""","=""""","=""540""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""336.093""","=""""","=""180""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""336.479""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""336.879""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""337.439""","=""""","=""180""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""337.570""","=""""","=""380""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""337.724""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""337.843""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""338.884""","=""""","=""570""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
