obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""1867.47""","=""0.05""","=""""","=""1.185e+05""",AA,"=""[73.463147]""","=""[74.127061]""","=""1s.5f""","=""1F*""","=""3""","=""1s.6d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""1840.5""","=""1.7""","=""""","=""1.869e+02""",AA,"=""[73.461037]""","=""[74.1347]""","=""1s.5d""","=""3D""","=""2""","=""1s.6p""","=""1P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""1844.1""","=""1.7""","=""""","=""1.3307e+06""",AAA,"=""[73.462319]""","=""[74.1347]""","=""1s.5d""","=""1D""","=""2""","=""1s.6p""","=""1P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""1900.0""","=""0.8""","=""""","=""7.4661e+06""",AAA,"=""[73.4753]""","=""[74.127877]""","=""1s.5p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""1902.3""","=""0.8""","=""""","=""9.947e+02""",AA,"=""[73.4753]""","=""[74.127061]""","=""1s.5p""","=""1P*""","=""1""","=""1s.6d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""1880.4""","=""1.9""","=""""","=""6.8769e+00""",AAA,"=""[73.4753]""","=""[74.1347]""","=""1s.5p""","=""1P*""","=""1""","=""1s.6p""","=""1P*""","=""1""",3,3,E2,"=""T7378""","=""""",
"=""""","=""1938.10""","=""0.08""","=""""","=""2.3355e+04""",AAA,"=""[73.460988]""","=""[74.100710]""","=""1s.5d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""1938.24""","=""0.05""","=""""","=""3.5027e+05""",AAA,"=""[73.461037]""","=""[74.100710]""","=""1s.5d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""1938.35""","=""0.08""","=""""","=""5.8388e+05""",AAA,"=""[73.460988]""","=""[74.100627]""","=""1s.5d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""1938.49""","=""0.08""","=""""","=""2.3355e+06""",AAA,"=""[73.460988]""","=""[74.100580]""","=""1s.5d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""1938.49""","=""0.05""","=""""","=""1.9619e+06""",AAA,"=""[73.461119]""","=""[74.100710]""","=""1s.5d""","=""3D""","=""3""","=""1s.6p""","=""3P*""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""1938.50""","=""0.05""","=""""","=""1.7514e+06""",AAA,"=""[73.461037]""","=""[74.100627]""","=""1s.5d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""1942.14""","=""0.07""","=""""","=""5.653e+01""",AA,"=""[73.462319]""","=""[74.100710]""","=""1s.5d""","=""1D""","=""2""","=""1s.6p""","=""3P*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""1942.39""","=""0.07""","=""""","=""2.568e+02""",AA,"=""[73.462319]""","=""[74.100627]""","=""1s.5d""","=""1D""","=""2""","=""1s.6p""","=""3P*""","=""1""",5,3,,"=""T8636c73""","=""""",
