Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3d.(2D).4s.4p.(3P*)""","=""4D*""","=""5/2""",6,"=""""","=""6.52539759""","=""""","=""0.00000025""","=""  91                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""4D*""","=""7/2""",8,"=""""","=""6.55220951""","=""""","=""0.00000020""","=""  92                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""w 2D*""","=""5/2""",6,"=""""","=""6.63997254""","=""""","=""0.00000019""","=""  88                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""w 2D*""","=""3/2""",4,"=""""","=""6.64521411""","=""""","=""0.00000019""","=""  88                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""y 4P*""","=""1/2""",2,"=""""","=""6.97078901""","=""""","=""0.00000025""","=""  97                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""y 4P*""","=""3/2""",4,"=""""","=""6.97401753""","=""""","=""0.00000025""","=""  97                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""y 4P*""","=""5/2""",6,"=""""","=""6.98355096""","=""""","=""0.00000020""","=""  97                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""w 2F*""","=""5/2""",6,"=""""","=""7.35501207""","=""""","=""0.00000025""","=""  94                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""w 2F*""","=""7/2""",8,"=""""","=""7.37313868""","=""""","=""0.00000025""","=""  95                                            ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""2P*""","=""3/2""",4,"=""""","=""7.3631706""","=""""","=""0.0000005""","=""  83         :    16  3d2.(1S).4p         2P*   ""","=""L17885"""
"=""3d.(2D).4s.4p.(3P*)""","=""2P*""","=""1/2""",2,"=""""","=""7.3696443""","=""""","=""0.0000004""","=""  79         :    20  3d2.(1S).4p         2P*   ""","=""L17885"""
"=""3d2.(3F).5s""","=""e 4F""","=""3/2""",4,"=""""","=""7.70938719""","=""""","=""0.00000009""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).5s""","=""e 4F""","=""5/2""",6,"=""""","=""7.72079212""","=""""","=""0.00000007""","=""  99                                            ""","=""L17885"""
"=""3d2.(3F).5s""","=""e 4F""","=""7/2""",8,"=""""","=""7.73797320""","=""""","=""0.00000007""","=""  99                                            ""","=""L17885"""
"=""3d2.(3F).5s""","=""e 4F""","=""9/2""",10,"=""""","=""7.76081136""","=""""","=""0.00000009""","="" 100                                            ""","=""L17885"""
"=""3d2.(3F).5s""","=""e 2F""","=""5/2""",6,"=""""","=""7.83196911""","=""""","=""0.00000012""","=""  99                                            ""","=""L17885"""
"=""3d2.(3F).5s""","=""e 2F""","=""7/2""",8,"=""""","=""7.86630473""","=""""","=""0.00000010""","=""  99                                            ""","=""L17885"""
"=""3d2.(1S).4p""","=""2P*""","=""1/2""",2,"=""""","=""7.8453316""","=""""","=""0.0000005""","=""  76         :    20  3d.(2D).4s.4p.(3P*) 2P*   ""","=""L17885"""
"=""3d2.(1S).4p""","=""2P*""","=""3/2""",4,"=""""","=""7.8575384""","=""""","=""0.0000004""","=""  81         :    16  3d.(2D).4s.4p.(3P*) 2P*   ""","=""L17885"""
