obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""138.476""","=""""","=""138.4743730""","=""0.0000021""","=""1:""","=""""",,"=""0.04878107""","=""9.00236547""","=""3d2.(3F).4s""","=""a 4F""","=""9/2""","=""3d2.(3F).5p""","=""4D*""","=""7/2""",10,8,,"=""""","=""L5432""",
"=""138.566""","=""""","=""138.565901""","=""0.000004""","=""0:""","=""""",,"=""1.18010040""","=""10.12777063""","=""3d3""","=""a 4P""","=""5/2""","=""3d2.(3F).4f""","=""2G*""","=""7/2""",6,8,,"=""""","=""L5432""",
"=""138.716""","=""""","=""138.716180""","=""0.000012""","=""0:""","=""""",,"=""1.23686629""","=""10.1748430""","=""3d3""","=""a 2P""","=""3/2""","=""3d2.(3F).4f""","=""2P*""","=""1/2""",4,2,,"=""""","=""L5432""",
"=""139.758""","=""""","=""139.757255""","=""0.000003""","=""1:""","=""""",,"=""0.04878107""","=""8.92017727""","=""3d2.(3F).4s""","=""a 4F""","=""9/2""","=""3d2.(3F).5p""","=""4G*""","=""11/2""",10,12,,"=""""","=""L5432""",
"=""139.818""","=""""","=""139.8171886""","=""0.0000020""","="":""","=""""",,"=""0.02798372""","=""8.89557716""","=""3d2.(3F).4s""","=""a 4F""","=""7/2""","=""3d2.(3F).5p""","=""4G*""","=""9/2""",8,10,,"=""""","=""L5432""",
"=""139.818""","=""""","=""139.8178658""","=""0.0000022""","=""1:""","=""""",,"=""0.13481497""","=""9.00236547""","=""3d3""","=""b 4F""","=""7/2""","=""3d2.(3F).5p""","=""4D*""","=""7/2""",8,8,,"=""""","=""L5432""",
"=""139.876""","=""""","=""139.875522""","=""0.000003""","=""0:""","=""""",,"=""0.01166867""","=""8.87556400""","=""3d2.(3F).4s""","=""a 4F""","=""5/2""","=""3d2.(3F).5p""","=""4G*""","=""7/2""",6,8,,"=""""","=""L5432""",
"=""139.924""","=""""","=""139.9231912""","=""0.0000020""","=""0:""","=""""",,"=""0.12199000""","=""8.98286555""","=""3d3""","=""b 4F""","=""5/2""","=""3d2.(3F).5p""","=""4D*""","=""5/2""",6,6,,"=""""","=""L5432""",
"=""139.935""","=""""","=""139.9349156""","=""0.0000018""","=""0:""","=""""",,"=""0.00000000""","=""8.86013315""","=""3d2.(3F).4s""","=""a 4F""","=""3/2""","=""3d2.(3F).5p""","=""4G*""","=""5/2""",4,6,,"=""""","=""L5432""",
"=""139.997""","=""""","=""139.9967320""","=""0.0000024""","=""0:""","=""""",,"=""0.11257359""","=""8.96879449""","=""3d3""","=""b 4F""","=""3/2""","=""3d2.(3F).5p""","=""4D*""","=""3/2""",4,4,,"=""""","=""L5432""",
"=""140.070""","=""""","=""140.0694775""","=""0.0000022""","=""2:""","=""""",,"=""0.15074407""","=""9.00236547""","=""3d3""","=""b 4F""","=""9/2""","=""3d2.(3F).5p""","=""4D*""","=""7/2""",10,8,,"=""""","=""L5432""",
"=""140.126""","=""""","=""140.1260055""","=""0.0000020""","="":""","=""""",,"=""0.13481497""","=""8.98286555""","=""3d3""","=""b 4F""","=""7/2""","=""3d2.(3F).5p""","=""4D*""","=""5/2""",8,6,,"=""""","=""L5432""",
"=""140.130""","=""""","=""140.129453""","=""0.000003""","=""2:""","=""""",,"=""0.11257359""","=""8.96040647""","=""3d3""","=""b 4F""","=""3/2""","=""3d2.(3F).5p""","=""4D*""","=""1/2""",4,2,,"=""""","=""L5432""",
"=""140.146""","=""""","=""140.1457426""","=""0.0000022""","=""1:""","=""""",,"=""0.12199000""","=""8.96879449""","=""3d3""","=""b 4F""","=""5/2""","=""3d2.(3F).5p""","=""4D*""","=""3/2""",6,4,,"=""""","=""L5432""",
"=""140.767""","=""""","=""140.7666438""","=""0.0000018""","=""0:""","=""""",,"=""0.13481497""","=""8.94259749""","=""3d3""","=""b 4F""","=""7/2""","=""3d2.(3F).5p""","=""4F*""","=""9/2""",8,10,,"=""""","=""L5432""",
"=""140.892""","=""""","=""140.8916700""","=""0.0000022""","=""0:""","=""""",,"=""0.12199000""","=""8.92195655""","=""3d3""","=""b 4F""","=""5/2""","=""3d2.(3F).5p""","=""4F*""","=""7/2""",6,8,,"=""""","=""L5432""",
"=""141.008""","=""""","=""141.0078771""","=""0.0000022""","=""0:""","=""""",,"=""0.11257359""","=""8.90528793""","=""3d3""","=""b 4F""","=""3/2""","=""3d2.(3F).5p""","=""4F*""","=""5/2""",4,6,,"=""""","=""L5432""",
