obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""18.9702""","=""0.0004""","=""""","=""6.42e+09""",AA,"=""(853.4184)""","=""(918.7758)""","=""1s.3s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""19.5972""","=""0.0006""","=""""","=""1.064e+10""",AA,"=""(855.7791)""","=""(919.0453)""","=""1s.3p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""19.6074""","=""0.0006""","=""""","=""1.419e+10""",AA,"=""(855.8141)""","=""(919.0475)""","=""1s.3p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""19.6081""","=""0.0006""","=""""","=""3.55e+09""",AA,"=""(855.8141)""","=""(919.0453)""","=""1s.3p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""19.5784""","=""0.0004""","=""""","=""6.35e+09""",AA,"=""(855.8093)""","=""(919.1364)""","=""1s.3s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""19.9977""","=""0.0003""","=""""","=""5.69e+08""",AA,"=""(857.1371)""","=""(919.1364)""","=""1s.3d""","=""1D""","=""2""","=""1s.5p""","=""1P*""","=""1""",5,3,,"=""T5997""","=""""",
"=""""","=""20.0900""","=""0.0003""","=""""","=""1.123e+08""",AA,"=""(857.0689)""","=""(918.7833)""","=""1s.3d""","=""3D""","=""2""","=""1s.5p""","=""3P*""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""20.0925""","=""0.0003""","=""""","=""5.62e+08""",AA,"=""(857.0689)""","=""(918.7758)""","=""1s.3d""","=""3D""","=""2""","=""1s.5p""","=""3P*""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""20.1422""","=""0.0005""","=""""","=""1.377e+10""",AA,"=""(857.5108)""","=""(919.0654)""","=""1s.3p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""20.0937""","=""0.0003""","=""""","=""6.22e+08""",AA,"=""(857.0802)""","=""(918.7833)""","=""1s.3d""","=""3D""","=""3""","=""1s.5p""","=""3P*""","=""2""",7,5,,"=""T5997LS""","=""""",
"=""""","=""27.2495""","=""0.0008""","=""""","=""1.158e+10""",AA,"=""(853.4184)""","=""(898.9180)""","=""1s.3s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
