obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""12368.0""","=""""","=""1.16e+04""",C,"=""7.034043""","=""7.1342886""","=""3s2.3p.4d""","=""3P*""","=""0""","=""3s2.3p.5p""","=""3S""","=""1""",1,3,,"=""T6066LS""","=""""",
"=""""","=""12703.3""","=""""","=""3.42e+03""",C,"=""7.4288029""","=""7.526402""","=""3s2.3p.nd""","=""a 3P*""","=""2""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""3""",5,7,,"=""T6066LS'""","=""""",
"=""""","=""12757.4""","=""""","=""4.29e+02""",E,"=""7.739221""","=""7.836408""","=""3s2.3p.(2P*<3/2>).7p<3/2>""","=""(3/2,3/2)""","=""3""","=""3s2.3p.7d""","=""3F*""","=""2""",7,5,,"=""T6066LS'""","=""""",
"=""""","=""12864.45""","=""""","=""1.57e+04""",C+,"=""7.0287762""","=""7.1251535""","=""3s2.3p.4d""","=""3P*""","=""2""","=""3s2.3p.5p""","=""3P""","=""2""",5,5,,"=""T6066LS""","=""""",
"=""""","=""12934.9""","=""""","=""1.04e+04""",D,"=""7.813536""","=""7.909388""","=""3s2.3p.6d""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",5,3,,"=""T6066LS'""","=""""",
"=""""","=""13014.1""","=""""","=""2.75e+04""",D,"=""7.907956""","=""8.003226?""","=""3s2.3p.(2P*<3/2>).7f""","=""2[9/2]""","=""5""","=""3s2.3p.9d""","=""3F*""","=""4""",11,9,,"=""T6066LS'""","=""""",
"=""""","=""13021.0""","=""""","=""5.05e+03""",C,"=""7.029935""","=""7.1251535""","=""3s2.3p.4d""","=""3P*""","=""1""","=""3s2.3p.5p""","=""3P""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""""","=""13064.7""","=""""","=""3.26e+05""",B+,"=""7.5443078""","=""7.639208""","=""3s2.3p.5d""","=""3F*""","=""4""","=""3s2.3p.(2P*<3/2>).5f""","=""2[9/2]""","=""5""",9,11,,"=""T6066LS'""","=""""",
"=""""","=""13319.7""","=""""","=""1.32e+01""",D,"=""5.8708445""","=""5.9639280""","=""3s2.3p.3d""","=""1D*""","=""2""","=""3s2.3p.4p""","=""3D""","=""2""",5,5,,"=""T8363c22""","=""""",
"=""""","=""13453""","=""""","=""1.10e+04""",C+,"=""7.526402""","=""7.618564""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""3""","=""3s2.3p.5d""","=""3D*""","=""2""",7,5,,"=""T6066LS'""","=""""",
"=""""","=""13757.5""","=""""","=""7.00e+02""",D+,"=""7.338682""","=""7.4288029""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","=""3s2.3p.nd""","=""a 3P*""","=""2""",3,5,,"=""T6066LS'""","=""""",
"=""""","=""14364.5""","=""""","=""1.13e+05""",C+,"=""7.823076""","=""7.909388""","=""3s2.3p.6d""","=""3P*""","=""1""","=""3s2.3p.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",3,3,,"=""T6066LS'""","=""""",
"=""""","=""14921.8""","=""""","=""1.35e+05""",B,"=""7.826299""","=""7.909388""","=""3s2.3p.6d""","=""3P*""","=""0""","=""3s2.3p.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",1,3,,"=""T6066LS'""","=""""",
"=""""","=""14958.4""","=""""","=""3.96e+01""",D,"=""5.8708445""","=""5.9537304""","=""3s2.3p.3d""","=""1D*""","=""2""","=""3s2.3p.4p""","=""3D""","=""1""",5,3,,"=""T8363c22""","=""""",
"=""""","=""15676.8""","=""""","=""4.84e+03""",C,"=""7.0287762""","=""7.1078640""","=""3s2.3p.4d""","=""3P*""","=""2""","=""3s2.3p.5p""","=""3P""","=""1""",5,3,,"=""T6066LS""","=""""",
"=""""","=""15722.5""","=""""","=""9.04e+02""",D,"=""7.730406""","=""7.809264""","=""3s2.3p.6d""","=""3F*""","=""2""","=""3s2.3p.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",5,3,,"=""T6066LS'""","=""""",
