obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""28.62""","=""28.6019""","=""0.0003""","=""*""","=""""",,"=""46.5408""","=""89.8890""","=""3d10.4d""","=""2D""","=""5/2""","=""3d10.5f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L4956""",
"=""28.8684""","=""28.8691""","=""0.0003""","=""1000""","=""""",,"=""17.81603""","=""60.7630""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d10.5s""","=""2S""","=""1/2""",2,2,,"=""""","=""L10636""",
"=""29.7077""","=""29.7079""","=""0.0003""","=""2000""","=""""",,"=""19.02860""","=""60.7630""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d10.5s""","=""2S""","=""1/2""",4,2,,"=""""","=""L10636""",
"=""43.4124""","=""43.4122""","=""0.0007""","=""3500""","=""""",,"=""17.81603""","=""46.3758""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d10.4d""","=""2D""","=""3/2""",2,4,,"=""""","=""L10636""",
"=""45.0649""","=""45.0651""","=""0.0007""","=""5000""","=""""",,"=""19.02860""","=""46.5408""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d10.4d""","=""2D""","=""5/2""",4,6,,"=""""","=""L10636""",
"=""45.3360""","=""45.3371""","=""0.0007""","=""500""","=""""",,"=""19.02860""","=""46.3758""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d10.4d""","=""2D""","=""3/2""",4,4,,"=""""","=""L10636""",
"=""52.9893""","=""52.9888""","=""0.0012""","=""400""","=""""",,"=""46.3758""","=""69.7740""","=""3d10.4d""","=""2D""","=""3/2""","=""3d10.4f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L10636""",
"=""53.3651""","=""53.3652""","=""0.0012""","=""10p""","=""""",,"=""46.5408""","=""69.7740""","=""3d10.4d""","=""2D""","=""5/2""","=""3d10.4f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L10636""",
"=""53.3753""","=""53.3749""","=""0.0012""","=""500""","=""""",,"=""46.5408""","=""69.7698""","=""3d10.4d""","=""2D""","=""5/2""","=""3d10.4f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L10636""",
"=""57.1203""","=""57.1210""","=""0.0014""","=""60""","=""""",,"=""46.5408""","=""68.2464""","=""3d10.4d""","=""2D""","=""5/2""","=""3d10.5p""","=""2P*""","=""3/2""",6,4,,"=""""","=""L10636""",
"=""57.9246""","=""57.9257""","=""0.0014""","=""40""","=""""",,"=""46.3758""","=""67.7798""","=""3d10.4d""","=""2D""","=""3/2""","=""3d10.5p""","=""2P*""","=""1/2""",4,2,,"=""""","=""L10636""",
"=""58.6969""","=""58.6985""","=""0.0017""","=""50""","=""""",,"=""69.7698""","=""90.8919""","=""3d10.4f""","=""2F*""","=""7/2""","=""3d10.5g""","=""2G""","=""9/2""",8,10,,"=""""","=""L10636""",
"=""58.7121""","=""58.7109""","=""0.0015""","=""45""","=""""",,"=""69.7740""","=""90.8917""","=""3d10.4f""","=""2F*""","=""5/2""","=""3d10.5g""","=""2G""","=""7/2""",6,8,,"=""""","=""L10636""",
"=""65.1566""","=""65.1568""","=""0.0012""","=""4000""","=""""",,"=""0.00000""","=""19.02860""","=""3d10.4s""","=""2S""","=""1/2""","=""3d10.4p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L10636""",
"=""69.5918""","=""69.5914""","=""0.0014""","=""2000""","=""""",,"=""0.00000""","=""17.81603""","=""3d10.4s""","=""2S""","=""1/2""","=""3d10.4p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L10636""",
"=""105.941""","=""105.938""","=""0.005""","=""20""","=""""",,"=""67.7798""","=""79.4833""","=""3d10.5p""","=""2P*""","=""1/2""","=""3d10.5d""","=""2D""","=""3/2""",2,4,,"=""""","=""L10440""",
"=""109.677""","=""109.682""","=""0.005""","=""11""","=""""",,"=""68.2464""","=""79.5504""","=""3d10.5p""","=""2P*""","=""3/2""","=""3d10.5d""","=""2D""","=""5/2""",4,6,,"=""""","=""L10440""",
"=""115.760""","=""115.761""","=""0.008""","=""4*""","=""""",,"=""90.8919""","=""101.6023""","=""3d10.5g""","=""2G""","=""9/2""","=""3d10.6h""","=""2H*""","=""9/2""",10,10,,"=""""","=""L10440""",
"=""115.760""","=""115.761""","=""0.008""","=""4*""","=""""",,"=""90.8919""","=""101.6023""","=""3d10.5g""","=""2G""","=""9/2""","=""3d10.6h""","=""2H*""","=""11/2""",10,12,,"=""""","=""L10440""",
"=""115.760""","=""115.758""","=""0.007""","=""4*""","=""""",,"=""90.8917""","=""101.6023""","=""3d10.5g""","=""2G""","=""7/2""","=""3d10.6h""","=""2H*""","=""9/2""",8,10,,"=""""","=""L10440""",
"=""119.159""","=""119.157""","=""0.006""","=""2""","=""""",,"=""79.4833""","=""89.8884""","=""3d10.5d""","=""2D""","=""3/2""","=""3d10.5f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L10440""",
"=""119.922""","=""119.923""","=""0.006""","=""8""","=""""",,"=""79.5504""","=""89.8890""","=""3d10.5d""","=""2D""","=""5/2""","=""3d10.5f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L10440""",
"=""126.768""","=""126.765""","=""0.007""","=""7""","=""""",,"=""69.7698""","=""79.5504""","=""3d10.4f""","=""2F*""","=""7/2""","=""3d10.5d""","=""2D""","=""5/2""",8,6,,"=""""","=""L10440""",
"=""127.694""","=""127.696""","=""0.007""","=""6""","=""""",,"=""69.7740""","=""79.4833""","=""3d10.4f""","=""2F*""","=""5/2""","=""3d10.5d""","=""2D""","=""3/2""",6,4,,"=""""","=""L10440""",
"=""165.678""","=""165.681""","=""0.012""","=""5""","=""""",,"=""60.7630""","=""68.2464""","=""3d10.5s""","=""2S""","=""1/2""","=""3d10.5p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L10440""",
"=""176.699""","=""176.697""","=""0.013""","=""4""","=""""",,"=""60.7630""","=""67.7798""","=""3d10.5s""","=""2S""","=""1/2""","=""3d10.5p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L10440""",
"=""191.67""","=""191.67""","=""0.06""","=""*""","=""""",,"=""101.5515""","=""108.0201""","=""3d10.6g""","=""2G""","=""7/2""","=""3d10.7h""","=""2H*""","=""9/2""",8,10,,"=""""","=""L11307""",
"=""191.67""","=""191.67""","=""0.05""","=""*""","=""""",,"=""101.5515""","=""108.0201""","=""3d10.6g""","=""2G""","=""9/2""","=""3d10.7h""","=""2H*""","=""9/2""",10,10,,"=""""","=""L11307""",
"=""191.67""","=""191.67""","=""0.05""","=""*""","=""""",,"=""101.5515""","=""108.0201""","=""3d10.6g""","=""2G""","=""9/2""","=""3d10.7h""","=""2H*""","=""11/2""",10,12,,"=""""","=""L11307""",
"=""192.910""","=""192.909""","=""0.021""","=""2*""","=""""",,"=""101.6023""","=""108.0294""","=""3d10.6h""","=""2H*""","=""11/2""","=""3d10.7i""","=""2I""","=""11/2""",12,12,,"=""""","=""L10440""",
"=""192.910""","=""192.909""","=""0.021""","=""2*""","=""""",,"=""101.6023""","=""108.0294""","=""3d10.6h""","=""2H*""","=""11/2""","=""3d10.7i""","=""2I""","=""13/2""",12,14,,"=""""","=""L10440""",
"=""192.910""","=""192.909""","=""0.021""","=""2*""","=""""",,"=""101.6023""","=""108.0294""","=""3d10.6h""","=""2H*""","=""9/2""","=""3d10.7i""","=""2I""","=""11/2""",10,12,,"=""""","=""L10440""",
"=""206.93""","=""206.93""","=""0.03""","=""""","=""""",,"=""89.3423""","=""95.3338""","=""3d10.6p""","=""2P*""","=""1/2""","=""3d10.6d""","=""2D""","=""3/2""",2,4,,"=""""","=""L11307""",
"=""212.63""","=""212.63""","=""0.05""","=""""","=""""",,"=""107.5043""","=""113.3354""","=""3d10.8p""","=""2P*""","=""1/2""","=""3d10.9d""","=""2D""","=""3/2""",2,4,,"=""""","=""L11307""",
"=""213.81""","=""213.78""","=""0.06""","=""""","=""""",,"=""89.5750""","=""95.3745""","=""3d10.6p""","=""2P*""","=""3/2""","=""3d10.6d""","=""2D""","=""5/2""",4,6,,"=""""","=""L11307""",
"=""215.30""","=""215.29""","=""0.10""","=""*""","=""""",,"=""107.5867""","=""113.3455""","=""3d10.8p""","=""2P*""","=""3/2""","=""3d10.9d""","=""2D""","=""5/2""",4,6,,"=""""","=""L11307""",
"=""215.30""","=""215.29""","=""0.06""","=""*""","=""""",,"=""89.5750""","=""95.3338""","=""3d10.6p""","=""2P*""","=""3/2""","=""3d10.6d""","=""2D""","=""3/2""",4,4,,"=""""","=""L11307""",
"=""222.06""","=""222.09""","=""0.06""","=""*""","=""""",,"=""106.2749""","=""111.8574""","=""3d10.8s""","=""2S""","=""1/2""","=""3d10.9p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L11307""",
