obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""70.295""","=""0.010""","=""70.290""","=""0.010""","=""210""","=""""",,"=""99.974""","=""117.613""","=""2s.2p2.(4P).3d""","=""3F""","=""4""","=""2s.2p2.(4P).4f""","=""5F*""","=""5""",9,11,,"=""""","=""L11744""",
"=""70.515""","=""0.010""","=""70.513""","=""0.010""","=""530""","=""""",,"=""82.256""","=""99.839""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.4s""","=""1P*""","=""1""",5,3,,"=""""","=""L11744""",
"=""70.819""","=""0.010""","=""70.801""","=""0.020""","=""1400*""","=""""",,"=""99.882""","=""117.393?""","=""2s.2p2.(4P).3d""","=""3F""","=""2""","=""2s.2p2.(4P).4f""","=""3G*""","=""3""",5,7,,"=""""","=""L11744""",
"=""70.819""","=""0.010""","=""70.825""","=""0.015""","=""1400*""","=""""",,"=""99.917""","=""117.423""","=""2s.2p2.(4P).3d""","=""3F""","=""3""","=""2s.2p2.(4P).4f""","=""3G*""","=""4""",7,9,,"=""""","=""L11744""",
"=""70.819""","=""0.010""","=""70.832""","=""0.010""","=""1400*""","=""""",,"=""99.974""","=""117.478""","=""2s.2p2.(4P).3d""","=""3F""","=""4""","=""2s.2p2.(4P).4f""","=""3G*""","=""5""",9,11,,"=""""","=""L11744""",
"=""72.933""","=""0.010""","=""72.938""","=""0.010""","=""1500""","=""""",,"=""88.020""","=""105.018""","=""2s2.2p.3d""","=""1F*""","=""3""","=""2s2.2p.4f""","=""1G""","=""4""",7,9,,"=""""","=""L11744""",
"=""73.290""","=""0.010""","=""73.295""","=""0.010""","=""650""","=""""",,"=""88.163""","=""105.078""","=""2s2.2p.3d""","=""1P*""","=""1""","=""2s2.2p.4f""","=""1D""","=""2""",3,5,,"=""""","=""L11744""",
"=""73.597""","=""0.010""","=""73.604""","=""0.010""","=""280""","=""""",,"=""88.163""","=""105.007""","=""2s2.2p.3d""","=""1P*""","=""1""","=""2s2.2p.4f""","=""3D""","=""2""",3,5,,"=""""","=""L11744""",
"=""74.275""","=""0.010""","=""74.273""","=""0.010""","=""80""","=""""",,"=""88.020""","=""104.713""","=""2s2.2p.3d""","=""1F*""","=""3""","=""2s2.2p.4f""","=""3F""","=""4""",7,9,,"=""""","=""L11744""",
"=""74.381""","=""0.003""","=""74.381""","=""0.005""","=""260*""","=""""",,"=""88.020""","=""104.689""","=""2s2.2p.3d""","=""1F*""","=""3""","=""2s2.2p.4f""","=""1F""","=""3""",7,7,,"=""""","=""L11744""",
"=""74.381""","=""0.003""","=""74.3827""","=""0.0017""","=""260*""","=""""",,"=""34.63761""","=""51.3060""","=""2s.2p3""","=""3S*""","=""1""","=""2p4""","=""3P""","=""0""",3,1,,"=""""","=""L11744""",
"=""74.5730""","=""0.0005""","=""74.5731""","=""0.0005""","=""480""","=""""",,"=""34.63761""","=""51.26349""","=""2s.2p3""","=""3S*""","=""1""","=""2p4""","=""3P""","=""1""",3,3,,"=""""","=""L11744""",
"=""75.0150""","=""0.0005""","=""75.0149""","=""0.0005""","=""680""","=""""",,"=""34.63761""","=""51.16556""","=""2s.2p3""","=""3S*""","=""1""","=""2p4""","=""3P""","=""2""",3,5,,"=""""","=""L11744""",
"=""75.3221""","=""0.0005""","=""75.3219""","=""0.0007""","=""830*""","=""""",,"=""37.66878""","=""54.1294""","=""2s.2p3""","=""1P*""","=""1""","=""2p4""","=""1D""","=""2""",3,5,,"=""""","=""L11744""",
"=""75.3221""","=""""","=""75.324""","=""0.003""","=""830*""","=""""",,"=""101.179""","=""117.639""","=""2s.2p2.(4P).3d""","=""3D""","=""1""","=""2s.2p2.(4P).4f""","=""3F*""","=""2""",3,5,,"=""""","=""L11744""",
"=""75.3221""","=""""","=""75.3245""","=""0.0023""","=""830*""","=""""",,"=""101.184""","=""117.644""","=""2s.2p2.(4P).3d""","=""3D""","=""2""","=""2s.2p2.(4P).4f""","=""3F*""","=""3""",5,7,,"=""""","=""L11744""",
"=""75.370""","=""0.010""","=""75.370""","=""0.010""","=""590""","=""""",,"=""101.204""","=""117.654""","=""2s.2p2.(4P).3d""","=""3D""","=""3""","=""2s.2p2.(4P).4f""","=""3F*""","=""4""",7,9,,"=""""","=""L11744""",
"=""75.416""","=""0.010""","=""75.416""","=""0.010""","=""70""","=""""",,"=""101.204""","=""117.644""","=""2s.2p2.(4P).3d""","=""3D""","=""3""","=""2s.2p2.(4P).4f""","=""3F*""","=""3""",7,7,,"=""""","=""L11744""",
"=""77.243""","=""0.010""","=""77.242""","=""0.010""","=""120""","=""""",,"=""85.635""","=""101.686""","=""2s2.2p.3d""","=""3F*""","=""2""","=""2s2.2p.4p""","=""3D""","=""1""",5,3,,"=""""","=""L11744""",
"=""77.423""","=""0.010""","=""77.423""","=""0.010""","=""460""","=""""",,"=""85.8086""","=""101.822""","=""2s2.2p.3d""","=""3F*""","=""4""","=""2s2.2p.4p""","=""3D""","=""3""",9,7,,"=""""","=""L11744""",
"=""77.503""","=""0.010""","=""77.503""","=""0.010""","=""240""","=""""",,"=""85.7324""","=""101.730""","=""2s2.2p.3d""","=""3F*""","=""3""","=""2s2.2p.4p""","=""3D""","=""2""",7,5,,"=""""","=""L11744""",
"=""77.733""","=""0.010""","=""77.730""","=""0.010""","=""150""","=""""",,"=""85.735""","=""101.686""","=""2s2.2p.3d""","=""1D*""","=""2""","=""2s2.2p.4p""","=""3D""","=""1""",5,3,,"=""""","=""L11744""",
"=""79.269""","=""0.010""","=""79.271""","=""0.010""","=""60""","=""""",,"=""86.593""","=""102.234""","=""2s2.2p.3d""","=""3D*""","=""2""","=""2s2.2p.4p""","=""3P""","=""2""",5,5,,"=""""","=""L11744""",
"=""79.356""","=""0.010""","=""79.362""","=""0.010""","=""140""","=""""",,"=""85.635""","=""101.257""","=""2s2.2p.3d""","=""3F*""","=""2""","=""2s2.2p.4p""","=""1P""","=""1""",5,3,,"=""""","=""L11744""",
"=""79.464""","=""0.010""","=""79.462""","=""0.010""","=""180""","=""""",,"=""86.631""","=""102.234""","=""2s2.2p.3d""","=""3D*""","=""3""","=""2s2.2p.4p""","=""3P""","=""2""",7,5,,"=""""","=""L11744""",
"=""79.537""","=""0.010""","=""79.537""","=""0.010""","=""160""","=""""",,"=""86.593""","=""102.181?""","=""2s2.2p.3d""","=""3D*""","=""2""","=""2s2.2p.4p""","=""3P""","=""1""",5,3,,"=""""","=""L11744""",
"=""79.877""","=""0.010""","=""79.878""","=""0.010""","=""100""","=""""",,"=""85.735""","=""101.257""","=""2s2.2p.3d""","=""1D*""","=""2""","=""2s2.2p.4p""","=""1P""","=""1""",5,3,,"=""""","=""L11744""",
"=""81.127""","=""0.010""","=""81.129""","=""0.009""","=""60""","=""""",,"=""73.9247""","=""89.207""","=""2s2.2p.3s""","=""3P*""","=""0""","=""2s.2p2.(4P).3s""","=""3P""","=""1""",1,3,,"=""""","=""L11744""",
"=""81.385""","=""0.010""","=""81.377""","=""0.009""","=""60""","=""""",,"=""73.9713""","=""89.207""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s.2p2.(4P).3s""","=""3P""","=""1""",3,3,,"=""""","=""L11744""",
"=""81.613""","=""0.010""","=""81.613""","=""0.010""","=""100""","=""""",,"=""86.631""","=""101.822""","=""2s2.2p.3d""","=""3D*""","=""3""","=""2s2.2p.4p""","=""3D""","=""3""",7,7,,"=""""","=""L11744""",
"=""82.012""","=""0.010""","=""82.016""","=""0.010""","=""80""","=""""",,"=""86.569""","=""101.686""","=""2s2.2p.3d""","=""3D*""","=""1""","=""2s2.2p.4p""","=""3D""","=""1""",3,3,,"=""""","=""L11744""",
"=""82.302""","=""0.015""","=""82.307""","=""0.014""","=""50""","=""""",,"=""89.207""","=""104.271""","=""2s.2p2.(4P).3s""","=""3P""","=""1""","=""2s2.2p.4d""","=""3D*""","=""2""",3,5,,"=""""","=""L11744""",
"=""82.421""","=""0.010""","=""82.418""","=""0.010""","=""60""","=""""",,"=""89.272""","=""104.315""","=""2s.2p2.(4P).3s""","=""3P""","=""2""","=""2s2.2p.4d""","=""3D*""","=""3""",5,7,,"=""""","=""L11744""",
"=""82.628""","=""0.015""","=""82.628""","=""0.014""","=""70""","=""""",,"=""99.974""","=""114.979""","=""2s.2p2.(4P).3d""","=""3F""","=""4""","=""2s.2p2.(4P).4p""","=""3D*""","=""3""",9,7,,"=""""","=""L11744""",
"=""82.681""","=""0.010""","=""82.681""","=""0.010""","=""60""","=""""",,"=""99.917""","=""114.913""","=""2s.2p2.(4P).3d""","=""3F""","=""3""","=""2s.2p2.(4P).4p""","=""3D*""","=""2""",7,5,,"=""""","=""L11744""",
