obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""468.66881681""","=""0.00000020""","=""""","=""9.3899e+07""",AA,"=""(48.37129745992)""","=""(51.0167518615)""","=""3p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""468.67185522""","=""0.00000011""","=""""","=""4.9070e+07""",AA,"=""(48.3713147616)""","=""(51.01675201265)""","=""3s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""468.68357619""","=""0.00000006""","=""""","=""9.7968e+06""",AA,"=""(48.37129745992)""","=""(51.01666855319)""","=""3p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""468.68793756""","=""0.00000011""","=""""","=""4.9080e+07""",AA,"=""(48.3713147616)""","=""(51.01666123838)""","=""3s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""468.70152546""","=""0.00000009""","=""""","=""2.0605e+08""",AA,"=""(48.371512275660)""","=""(51.0167820625)""","=""3d""","=""2D""","=""3/2""","=""4f""","=""2F*""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""468.70157852""","=""0.00000020""","=""""","=""1.1268e+08""",AA,"=""(48.37151262966)""","=""(51.0167821170)""","=""3p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""468.706849891""","=""0.000000009""","=""""","=""5.5646e+05""",AA,"=""(48.371512275660)""","=""(51.01675201265)""","=""3d""","=""2D""","=""3/2""","=""4p""","=""2P*""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""468.70693939""","=""0.00000020""","=""""","=""1.8780e+07""",AA,"=""(48.37151262966)""","=""(51.0167518615)""","=""3p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""468.71155240""","=""0.00000009""","=""""","=""2.2076e+08""",AA,"=""(48.371583992058)""","=""(51.0167971898)""","=""3d""","=""2D""","=""5/2""","=""4f""","=""2F*""","=""7/2""",6,8,,"=""T7771""","=""""",
"=""""","=""468.71423286""","=""0.00000009""","=""""","=""1.4717e+07""",AA,"=""(48.371583992058)""","=""(51.0167820625)""","=""3d""","=""2D""","=""5/2""","=""4f""","=""2F*""","=""5/2""",6,6,,"=""T7771""","=""""",
