Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s.2p.(3P*).3p""","=""4D""","=""7/2""",8,"=""""","=""81.64942""","=""""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""4S""","=""3/2""",4,"=""""","=""82.57301""","=""""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",4,"=""""","=""83.8049""","=""""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2D""","=""5/2""",6,"=""""","=""83.8656""","=""""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",2,"=""""","=""85.2771""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""",2,"=""""","=""86.4880""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""",4,"=""""","=""86.48830""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""",6,"=""""","=""86.50068""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""",8,"=""""","=""86.51754""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""86.7013""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""86.7132""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""",6,"=""""","=""87.11923""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""",4,"=""""","=""87.14428""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""",2,"=""""","=""87.16337""","=""""","=""""","="""""
"=""2s.2p.(1P*).3s""","=""2P*""","=""1/2""",2,"=""""","=""88.3704""","=""""","=""""","="""""
"=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""",4,"=""""","=""88.3704""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""",6,"=""""","=""88.3809""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""",8,"=""""","=""88.4387""","=""""","=""""","="""""
"=""2s2.4s""","=""2S""","=""1/2""",2,"=""""","=""88.3928""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",4,"=""""","=""89.0792""","=""""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""",2,"=""""","=""89.1063""","=""""","=""""","="""""
"=""2s2.4d""","=""2D""","=""3/2""",4,"=""""","=""92.2455""","=""""","=""""","="""""
"=""2s2.4d""","=""2D""","=""5/2""",6,"=""""","=""92.2487""","=""""","=""""","="""""
"=""2s2.4f""","=""2F*""","=""5/2""",6,"=""""","=""92.5573""","=""""","=""""","="""""
"=""2s2.4f""","=""2F*""","=""7/2""",8,"=""""","=""92.5573""","=""""","=""""","="""""
"=""2s.2p.(1P*).3p""","=""2D""","=""3/2""",4,"=""""","=""93.1625""","=""""","=""""","="""""
"=""2s.2p.(1P*).3p""","=""2D""","=""5/2""",6,"=""""","=""93.1682""","=""""","=""""","="""""
"=""2s.2p.(1P*).3p""","=""2P""","=""1/2""",2,"=""""","=""93.4257""","=""""","=""""","="""""
"=""2s.2p.(1P*).3p""","=""2P""","=""3/2""",4,"=""""","=""93.4414""","=""""","=""""","="""""
"=""2s.2p.(1P*).3p""","=""2S""","=""1/2""",2,"=""""","=""94.2704""","=""""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2F*""","=""5/2""",6,"=""""","=""97.1602""","=""""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2F*""","=""7/2""",8,"=""""","=""97.1602""","=""""","=""""","="""""
"=""2p2.(3P).3s""","=""4P""","=""1/2""",2,"=""""","=""97.2159""","=""""","=""""","="""""
"=""2p2.(3P).3s""","=""4P""","=""3/2""",4,"=""""","=""97.24859""","=""""","=""""","="""""
"=""2p2.(3P).3s""","=""4P""","=""5/2""",6,"=""""","=""97.29893""","=""""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""97.6655""","=""""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""97.6703""","=""""","=""""","="""""
"=""2s2.5s""","=""2S""","=""1/2""",2,"=""""","=""98.1335""","=""+z""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2P*""","=""1/2""",2,"=""""","=""98.3577""","=""""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2P*""","=""3/2""",4,"=""""","=""98.3577""","=""""","=""""","="""""
"=""2p2.(3P).3s""","=""2P""","=""1/2""",2,"=""""","=""98.8227""","=""""","=""""","="""""
"=""2p2.(3P).3s""","=""2P""","=""3/2""",4,"=""""","=""98.8798""","=""""","=""""","="""""
"=""2s2.5d""","=""2D""","=""3/2""",4,"=""""","=""100.2614""","=""""","=""""","="""""
"=""2s2.5d""","=""2D""","=""5/2""",6,"=""""","=""100.2632""","=""""","=""""","="""""
"=""2s.2p.(3P*).4s""","=""4P*""","=""1/2""",2,"=""""","=""100.34531""","=""""","=""""","="""""
"=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""",4,"=""""","=""100.39038""","=""""","=""""","="""""
"=""2s.2p.(3P*).4s""","=""4P*""","=""5/2""",6,"=""""","=""100.43898""","=""""","=""""","="""""
"=""2p2.(1D).3s""","=""2D""","=""3/2""",4,"=""""","=""100.5605""","=""""","=""""","="""""
"=""2p2.(1D).3s""","=""2D""","=""5/2""",6,"=""""","=""100.5605""","=""""","=""""","="""""
"=""2p2.(3P).3p""","=""4D*""","=""3/2""",4,"=""""","=""101.20508""","=""""","=""""","="""""
"=""2p2.(3P).3p""","=""4D*""","=""5/2""",6,"=""""","=""101.24116""","=""""","=""""","="""""
"=""2p2.(3P).3p""","=""4D*""","=""7/2""",8,"=""""","=""101.27736""","=""""","=""""","="""""
"=""2p2.(3P).3p""","=""4P*""","=""1/2""",2,"=""""","=""102.0504""","=""""","=""""","="""""
"=""2p2.(3P).3p""","=""4P*""","=""3/2""",4,"=""""","=""102.0552""","=""""","=""""","="""""
"=""2p2.(3P).3p""","=""4P*""","=""5/2""",6,"=""""","=""102.0862""","=""""","=""""","="""""
"=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",2,"=""""","=""102.8370""","=""""","=""""","="""""
