spectrum,element,charge,n_levels,ionization_eV,max_level_eV,n_levels_above_ionization,n_lines,n_lines_classified,n_lines_with_Aki,n_levels_with_tau,n_tau_from_asd,n_tau_from_lidb,n_metastable,n_sub_ns,tau_coverage
Xe III,Xe,2,157,31.05,26.142997,0,1512,1512,0,0,0,0,0,0,0.0
Xe IV,Xe,3,94,42.2,29.2058,0,769,769,0,0,0,0,0,0,0.0
Xe V,Xe,4,53,54.1,32.19154,0,273,273,0,0,0,0,0,0,0.0
Xe VI,Xe,5,72,66.703,59.0605,0,126,126,0,0,0,0,0,0,0.0
Xe VII,Xe,6,72,91.6,116.01,5,131,131,0,0,0,0,0,0,0.0
Xe VIII,Xe,7,82,105.9778,100.6,0,135,135,0,0,0,0,0,0,0.0
Xe IX,Xe,8,59,179.84,145.1464,0,144,144,0,0,0,0,0,0,0.0
Y I,Y,0,193,6.21726,6.2307,1,361,350,189,41,41,0,0,0,0.212
Y II,Y,1,235,12.2236,11.19052,0,116,116,66,14,14,0,0,0,0.06
Zn I,Zn,0,374,9.394197,23.3809,165,570,564,16,9,7,2,1,0,0.024
Zn II,Zn,1,93,17.96439,23.8791,23,96,90,22,13,13,0,0,0,0.14
Zn III,Zn,2,315,39.7233,38.57886,0,39,0,0,0,0,0,0,0,0.0
Zr I,Zr,0,258,6.634126,6.434706,0,459,0,0,0,0,0,0,0,0.0
Zr II,Zr,1,135,13.13,11.373988,0,207,0,0,0,0,0,0,0,0.0
