obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""133.070""","=""0.001""","=""133.070+""","=""3""","=""""",,"=""21.03672""","=""30.35397""","=""5s.5p3""","=""1P*""","=""1""","=""5s2.5p.(2P*).6p""","=""3P""","=""2""",3,5,,"=""""","=""L7287""",
"=""133.805""","=""0.001""","=""133.805+""","=""10""","=""""",,"=""16.68520""","=""25.95122""","=""5s.5p3""","=""3P*""","=""1""","=""5s2.5p.(2P*).4f""","=""3D""","=""1""",3,3,,"=""""","=""L7287""",
"=""134.034""","=""0.001""","=""134.034+""","=""5""","=""""",,"=""16.70101""","=""25.95122""","=""5s.5p3""","=""3P*""","=""2""","=""5s2.5p.(2P*).4f""","=""3D""","=""1""",5,3,,"=""""","=""L7287""",
"=""134.142""","=""0.001""","=""134.141+""","=""12""","=""""",,"=""19.91563""","=""29.15847""","=""5s2.5p.(2P*).5d""","=""3F*""","=""3""","=""5s2.5p.(2P*).6p""","=""3D""","=""2""",7,5,,"=""""","=""L7287""",
"=""135.440""","=""0.001""","=""135.440+""","=""7""","=""""",,"=""21.19976""","=""30.35397""","=""5s2.5p.(2P*).5d""","=""3P*""","=""2""","=""5s2.5p.(2P*).6p""","=""3P""","=""2""",5,5,,"=""""","=""L7287""",
"=""135.931""","=""0.001""","=""135.931+""","=""13""","=""""",,"=""14.39419""","=""23.51531""","=""5s.5p3""","=""3D*""","=""2""","=""5s2.5p.(2P*).4f""","=""3F""","=""3""",5,7,,"=""""","=""L7287""",
"=""135.974""","=""0.001""","=""135.973+""","=""4""","=""""",,"=""21.03672""","=""30.15500""","=""5s.5p3""","=""1P*""","=""1""","=""5s2.5p.(2P*).6p""","=""1P""","=""1""",3,3,,"=""""","=""L7287""",
"=""137.379""","=""0.001""","=""137.379+""","=""11""","=""""",,"=""16.68520""","=""25.71019""","=""5s.5p3""","=""3P*""","=""1""","=""5s2.5p.(2P*).4f""","=""3D""","=""2""",3,5,,"=""""","=""L7287""",
"=""137.620""","=""0.001""","=""137.620+""","=""10""","=""""",,"=""16.70101""","=""25.71019""","=""5s.5p3""","=""3P*""","=""2""","=""5s2.5p.(2P*).4f""","=""3D""","=""2""",5,5,,"=""""","=""L7287""",
"=""139.373""","=""0.001""","=""139.374+""","=""6""","=""""",,"=""21.45816""","=""30.35397""","=""5s2.5p.(2P*).5d""","=""3D*""","=""1""","=""5s2.5p.(2P*).6p""","=""3P""","=""2""",3,5,,"=""""","=""L7287""",
