obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""95.441""","=""0.012""","=""""","=""1.50e+06""",A,"=""(712.6427)""","=""(725.6334)""","=""1s.5d""","=""3D""","=""1""","=""1s.7p""","=""3P*""","=""2""",3,5,,"=""T5231LS""","=""""",
"=""""","=""95.454""","=""0.012""","=""""","=""1.13e+08""",A,"=""(712.6429)""","=""(725.6318)""","=""1s.5d""","=""3D""","=""2""","=""1s.7p""","=""3P*""","=""1""",5,3,,"=""T5231LS""","=""""",
"=""""","=""95.443""","=""0.012""","=""""","=""2.26e+07""",A,"=""(712.6429)""","=""(725.6334)""","=""1s.5d""","=""3D""","=""2""","=""1s.7p""","=""3P*""","=""2""",5,5,,"=""T5231LS""","=""""",
"=""""","=""95.453""","=""0.012""","=""""","=""1.26e+08""",A,"=""(712.6443)""","=""(725.6334)""","=""1s.5d""","=""3D""","=""3""","=""1s.7p""","=""3P*""","=""2""",7,5,,"=""T5231LS""","=""""",
"=""""","=""151.49""","=""0.03""","=""""","=""2.150e+08""",AA,"=""(712.6589)""","=""(720.8434)""","=""1s.5d""","=""1D""","=""2""","=""1s.6p""","=""1P*""","=""1""",5,3,,"=""T5997""","=""""",
"=""""","=""153.388""","=""0.018""","=""""","=""1.099e+09""",AA,"=""(712.7221)""","=""(720.8052)""","=""1s.5p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""154.54""","=""0.03""","=""""","=""2.738e+08""",AA,"=""(712.6427)""","=""(720.6654)""","=""1s.5d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T5997LS""","=""""",
"=""""","=""154.53""","=""0.03""","=""""","=""6.845e+07""",AA,"=""(712.6427)""","=""(720.6658)""","=""1s.5d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""154.49""","=""0.03""","=""""","=""2.738e+06""",AA,"=""(712.6427)""","=""(720.6683)""","=""1s.5d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""154.54""","=""0.03""","=""""","=""2.052e+08""",AA,"=""(712.6429)""","=""(720.6658)""","=""1s.5d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""1""",5,3,,"=""T5997LS""","=""""",
