Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""6s2.6p.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""",7,"=""""","=""7.338206""","=""""","=""0.000005""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).13d""","=""2[5/2]*""","=""2""",5,"=""""","=""7.273743""","=""""","=""0.000010""","=""         or  :        6s2.6p.13d 3D*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).13d""","=""2[5/2]*""","=""3""",7,"=""""","=""7.2754138""","=""""","=""0.0000025""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).13d""","=""2[3/2]*""","=""1""",3,"=""""","=""7.275659""","=""""","=""0.000004""","=""         or  :        6s2.6p.13d 3D*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).11f""","=""2[7/2]""","=""3""",7,"=""""","=""7.2793744""","=""""","=""0.0000014""","=""         or  :        6s2.6p.11f 1F   ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).11f""","=""2[7/2]""","=""4""",9,"=""""","=""7.279492""","=""""","=""0.000004""","=""         or  :        6s2.6p.11f 3F   ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).10g""","=""2[7/2]*""","=""3""",7,"=""""","=""7.28029""","=""""","=""0.00005""","=""                                      ""","=""L50"""
"=""6s2.6p.15s""","=""(1/2,1/2)*""","=""1""",3,"=""""","=""7.28544""","=""""","=""0.00019""","=""         or  :                   3P*  ""","=""L3466"""
"=""6s2.6p.(2P*<1/2>).14d""","=""2[5/2]*""","=""3""",7,"=""""","=""7.300092""","=""""","=""0.000014""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).14d""","=""2[3/2]*""","=""1""",3,"=""""","=""7.30049""","=""""","=""0.00019""","=""         or  :        6s2.6p.14d 3D*  ""","=""L3466"""
"=""6s2.6p.16s""","=""(1/2,1/2)*""","=""1""",3,"=""""","=""7.30785""","=""""","=""0.00019""","=""         or  :                   3P*  ""","=""L3466"""
"=""6s2.6p.(2P*<1/2>).15d""","=""2[3/2]*""","=""1""",3,"=""""","=""7.31932""","=""""","=""0.00019""","=""         or  :        6s2.6p.15d 3D*  ""","=""L3466"""
"=""6s2.6p.17s""","=""(1/2,1/2)*""","=""1""",3,"=""""","=""7.32504""","=""""","=""0.00019""","=""         or  :                   3P*  ""","=""L3466"""
"=""6s2.6p.(2P*<1/2>).16d""","=""2[3/2]*""","=""1""",3,"=""""","=""7.33383""","=""""","=""0.00019""","=""         or  :                   3D*  ""","=""L3466"""
"=""6s2.6p.(2P*<1/2>).17d""","=""2[3/2]*""","=""1""",3,"=""""","=""7.34543""","=""""","=""0.00019""","=""         or  :                   3D*  ""","=""L3466"""
"=""6s2.6p.(2P*<1/2>).18d""","=""2[3/2]*""","=""1""",3,"=""""","=""7.35479""","=""""","=""0.00019""","=""         or  :                   3D*  ""","=""L3466"""
"=""6s2.6p.(2P*<1/2>).19d""","=""2[3/2]*""","=""1""",3,"=""""","=""7.36244""","=""""","=""0.00019""","=""         or  :                   3D*  ""","=""L3466"""
"=""6s2.6p.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",3,"=""""","=""7.36801""","=""?""","=""0.00019""","=""         or  :                   3P*  ""","=""L3466"""
"=""6s2.6p.(2P*<1/2>).20d""","=""2[3/2]*""","=""1""",3,"=""""","=""7.36869""","=""""","=""0.00019""","=""         or  :                   3D*  ""","=""L3466"""
"=""Pb II (6p 2P*<1/2>)""","=""Limit""","=""---""",,"=""""","=""7.4166799""","=""""","=""0.0000006""","=""                                      ""","=""L11569"""
"=""6s2.6p.8s""","=""(3/2,1/2)*""","=""2""",5,"=""""","=""7.76400""","=""""","=""0.00019""","=""         or  :                   3P*  ""","=""L3466"""
"=""6s2.6p.8p""","=""(3/2,3/2)""","=""3""",7,"=""""","=""8.15215""","=""""","=""0.00004""","=""         or  :                   3D   ""","=""L3466"""
"=""6s2.6p.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""",3,"=""""","=""8.16700""","=""?""","=""0.00019""","=""         or  :                   3P*  ""","=""L3466"""
"=""6s2.6p.(2P*<3/2>).7d""","=""2[5/2]*""","=""3""",7,"=""""","=""8.18731""","=""""","=""0.00019""","=""         or  :                   3D*  ""","=""L3466"""
"=""6s2.6p.9s""","=""(3/2,1/2)*""","=""2""",5,"=""""","=""8.36665""","=""""","=""0.00019""","=""         or  :                   3P*  ""","=""L3466"""
"=""6s2.6p.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",3,"=""""","=""8.54567""","=""?""","=""0.00019""","=""         or  :                   3P*  ""","=""L3466"""
"=""6s2.6p.(2P*<3/2>).8d""","=""2[5/2]*""","=""3""",7,"=""""","=""8.64787""","=""""","=""0.00019""","=""         or  :                   3D*  ""","=""L3466"""
"=""Pb II (6p 2P*<3/2>)""","=""Limit""","=""---""",,"=""""","=""9.1625106""","=""""","=""0.0000009""","=""                                      ""","=""L11569"""
