Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
N+ 1Fo;v=2s2.2p.3d,N+ 1D;v=2s2.2p.3p,1.6639e-08,-1.8749697795486995
N+ 1Fo;v=2s2.2p.3d,N+ 3P;v=2s2.2p2,5.3763e-07,-23.4740066925126
N+ 1Fo;v=2s2.2p.3d,N+ 3D;v=2s2.2p.3p,1.8172e-05,-2.828386271298399
N+ 1Fo;v=2s2.2p.3d,N+ 3P;v=2s2.2p.3p,0.00014245,-2.3261378697277983
N+ 1Po;v=2s2.2p.3d,N+ 1S;v=2s2.2p2,3.8748e-10,-19.518530870733358
N+ 1Po;v=2s2.2p.3d,N+ 1P;v=2s2.2p.3p,1.3223e-08,-3.1626399594332995
N+ 1Po;v=2s2.2p.3d,N+ 1S;v=2s2.2p.3p,5.234e-08,-1.4688069151831975
N+ 1Po;v=2s2.2p.3d,N+ 1D;v=2s2.2p.3p,2.1592e-07,-1.9722951301369989
N+ 1Po;v=2s2.2p.3d,N+ 3P;v=2s2.2p2,2.1646e-07,-23.5713320431009
N+ 3Po;v=2s2.2p.4s,N+ 3P;v=2s2.2p2,3.9769e-09,-24.3672922351728
N+ 3Po;v=2s2.2p.4s,N+ 3D;v=2s2.2p.3p,8.4593e-09,-3.7216718139586007
N+ 3Po;v=2s2.2p.4s,N+ 3P;v=2s2.2p.3p,1.1317e-08,-3.219423412388
N+ 3Po;v=2s2.2p.4s,N+ 3S;v=2s2.2p.3p,6.5242e-08,-3.427836042119001
N+ 3Po;v=2s2.2p.4s,N+ 1S;v=2s2.2p2,7.4493e-07,-20.31449106280526
N+ 1Po;v=2s2.2p.4s,N+ 1S;v=2s2.2p2,2.6496e-09,-20.478022448061157
N+ 1Po;v=2s2.2p.4s,N+ 1D;v=2s2.2p2,4.6245e-09,-22.631900646314758
N+ 1Po;v=2s2.2p.4s,N+ 1D;v=2s2.2p.3p,9.249e-09,-2.9317867074647985
N+ 1Po;v=2s2.2p.4s,N+ 1P;v=2s2.2p.3p,1.0869e-08,-4.122131536761099
N+ 1Po;v=2s2.2p.4s,N+ 1S;v=2s2.2p.3p,9.89e-08,-2.428298492510997
N+ 1P;v=2s2.2p.4p,N+ 1Po;v=2s2.2p.3s,2.6169e-08,-6.568903248682997
N+ 1P;v=2s2.2p.4p,N+ 1Do;v=2s.2p3,3.2984e-08,-7.188809940327797
N+ 1P;v=2s2.2p.4p,N+ 1Do;v=2s2.2p.3d,3.5314e-08,-1.8696385820005972
N+ 1P;v=2s2.2p.4p,N+ 1Po;v=2s.2p3,3.9746e-08,-4.389559283536599
N+ 1P;v=2s2.2p.4p,N+ 1Po;v=2s2.2p.4s,2.3226e-07,-0.5346075308743998
N+ 3D;v=2s2.2p.4p,N+ 3Fo;v=2s2.2p.3d,3.1525e-08,-2.0087456436056996
N+ 3D;v=2s2.2p.4p,N+ 3Po;v=2s2.2p.3s,3.9834e-08,-6.670815908789397
N+ 3D;v=2s2.2p.4p,N+ 3Do;v=2s.2p3,5.2541e-08,-13.695251390760598
N+ 3D;v=2s2.2p.4p,N+ 3Po;v=2s2.2p.4s,9.1028e-08,-0.7654607828428972
N+ 3D;v=2s2.2p.4p,N+ 3Po;v=2s.2p3,1.2007e-07,-11.591015320373899
N+ 3P;v=2s2.2p.4p,N+ 3Do;v=2s.2p3,2.2921e-09,-13.750795030331998
N+ 3P;v=2s2.2p.4p,N+ 3Po;v=2s.2p3,2.2348e-08,-11.646558959945299
N+ 3P;v=2s2.2p.4p,N+ 3Do;v=2s2.2p.3d,3.6691e-08,-1.949482563884498
N+ 3P;v=2s2.2p.4p,N+ 3Po;v=2s2.2p.4s,8.477e-08,-0.8210044224142976
