obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""48.44""","=""0.03""","=""""","=""7.89e+09""",A,"=""[230.169]""","=""255.762""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.5d""","=""2D""","=""3/2""",2,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""48.51""","=""0.03""","=""""","=""9.43e+09""",A+,"=""[230.210]""","=""255.768""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""5/2""",4,6,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""48.52""","=""0.03""","=""""","=""1.57e+09""",A,"=""[230.210]""","=""255.762""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""3/2""",4,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""50.67""","=""0.04""","=""""","=""1.51e+09""",A,"=""230.890""","=""255.358""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.5p""","=""2P*""","=""1/2""",4,2,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""50.67""","=""0.04""","=""""","=""1.51e+08""",A,"=""230.890""","=""255.358""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.5p""","=""2P*""","=""3/2""",4,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""50.75""","=""0.04""","=""""","=""1.35e+09""",A,"=""230.929""","=""255.358""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.5p""","=""2P*""","=""3/2""",6,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""51.26""","=""0.04""","=""""","=""2.14e+09""",A,"=""[230.169]""","=""[254.356]""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.5s""","=""2S""","=""1/2""",2,2,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""51.35""","=""0.04""","=""""","=""4.26e+09""",A,"=""[230.210]""","=""[254.356]""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.5s""","=""2S""","=""1/2""",4,2,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""54.24""","=""0.04""","=""""","=""8.81e+08""",B+,"=""[254.356]""","=""277.215""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""3/2""",2,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""54.24""","=""0.04""","=""""","=""8.82e+08""",B+,"=""[254.356]""","=""277.215""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""1/2""",2,2,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""56.32""","=""0.04""","=""""","=""1.86e+09""",A,"=""255.358""","=""277.374""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""5/2""",4,6,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""56.32""","=""0.04""","=""""","=""1.56e+09""",A,"=""255.358""","=""277.372""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.7d""","=""2D""","=""3/2""",2,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""56.32""","=""0.04""","=""""","=""3.11e+08""",B+,"=""255.358""","=""277.372""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""3/2""",4,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""57.79""","=""0.05""","=""""","=""4.11e+08""",B+,"=""255.762""","=""277.215""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""1/2""",4,2,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""57.79""","=""0.05""","=""""","=""4.11e+07""",B,"=""255.762""","=""277.215""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""3/2""",4,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""57.81""","=""0.05""","=""""","=""3.71e+08""",B+,"=""255.768""","=""277.215""","=""1s2.5d""","=""2D""","=""5/2""","=""1s2.7p""","=""2P*""","=""3/2""",6,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""64.26""","=""0.03""","=""""","=""""",,"=""(1097.789)""","=""(1117.085)""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""3/2""","=""1s.2p2""","=""4P""","=""5/2""",4,6,,"=""""","=""""",
"=""""","=""""","=""64.53""","=""0.03""","=""""","=""""",,"=""(1097.709)""","=""(1116.921)""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""1/2""","=""1s.2p2""","=""4P""","=""3/2""",2,4,,"=""""","=""""",
"=""""","=""""","=""64.81""","=""0.03""","=""""","=""""",,"=""(1097.789)""","=""(1116.921)""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""3/2""","=""1s.2p2""","=""4P""","=""3/2""",4,4,,"=""""","=""""",
"=""""","=""""","=""65.02""","=""0.03""","=""""","=""""",,"=""(1098.017)""","=""(1117.085)""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""5/2""","=""1s.2p2""","=""4P""","=""5/2""",6,6,,"=""""","=""""",
"=""""","=""""","=""65.06""","=""0.03""","=""""","=""""",,"=""(1097.709)""","=""(1116.766)""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""1/2""","=""1s.2p2""","=""4P""","=""1/2""",2,2,,"=""""","=""""",
