obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""248.199""","=""0.0015""","=""248.19776""","=""0.00025""","=""8""","=""""",,"=""8.4076273""","=""13.403007""","=""3d5.(4G).4p""","=""z 3F*""","=""3""","=""3d5.(4D).5s""","=""e 3D""","=""3""",7,7,,"=""""","=""L562""",
"=""248.2457""","=""0.0018""","=""248.24577""","=""0.00025""","=""20*""","=""""",,"=""6.139411""","=""11.133824""","=""3d5.(2G).4s""","=""c 3G""","=""5""","=""3d5.(b 2F).4p""","=""t 3F*""","=""4""",11,9,,"=""""","=""L562""",
"=""248.2457""","=""0.0018""","=""248.24765""","=""0.00018""","=""20*""","=""""",,"=""3.419929""","=""8.4143048""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d5.(4G).4p""","=""z 3F*""","=""4""",9,9,,"=""""","=""L562""",
"=""248.257""","=""0.0015""","=""248.25785""","=""0.00025""","=""10""","=""""",,"=""6.1113498""","=""11.105520""","=""3d6""","=""b 1F""","=""3""","=""3d5.(b 2F).4p""","=""t 3F*""","=""3""",7,7,,"=""""","=""L562""",
"=""248.279""","=""0.0015""","=""248.27810""","=""0.00018""","=""8""","=""""",,"=""3.420542""","=""8.4143048""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d5.(4G).4p""","=""z 3F*""","=""4""",7,9,,"=""""","=""L562""",
"=""248.292""","=""0.0015""","=""248.29305""","=""0.00018""","=""50""","=""""",,"=""3.418399""","=""8.4118617""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d5.(4G).4p""","=""z 3H*""","=""5""",11,11,,"=""""","=""L562""",
"=""248.316""","=""0.0015""","=""248.31542""","=""0.00025""","=""2""","=""""",,"=""6.6451983""","=""11.638211""","=""3d6""","=""c 3P""","=""2""","=""3d5.(2S).4p""","=""3P*""","=""1""",5,3,,"=""""","=""L562""",
"=""248.3354""","=""0.0006""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L562""",
"=""248.3689""","=""0.0006""","=""248.36915""","=""0.00019""","=""50""","=""""",,"=""3.419929""","=""8.4118617""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d5.(4G).4p""","=""z 3H*""","=""5""",9,11,,"=""""","=""L562""",
"=""248.4131""","=""0.0006""","=""248.41259""","=""0.00025""","=""40""","=""""",,"=""3.804450""","=""8.7955095""","=""3d6""","=""a 3P""","=""1""","=""3d5.(4P).4p""","=""z 3D*""","=""2""",3,5,,"=""""","=""L562""",
"=""248.4291""","=""0.0015""","=""""","=""""","=""0""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L562""",
"=""248.495""","=""0.002""","=""248.4929""","=""0.0003""","=""3h,D*""","=""""",,"=""6.139411""","=""11.128858""","=""3d5.(2G).4s""","=""c 3G""","=""5""","=""3d5.(2H).4p""","=""x 1H*""","=""5""",11,11,,"=""""","=""L562""",
