Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""3s2.3p4.(3P<1>).7i""","=""2[5]""","=""11/2""",12,"=""""","=""26.65633296""","=""""","=""0.00000012""","=""L15349"""
"=""3s2.3p4.(3P<1>).7i""","=""2[7]""","=""13/2""",14,"=""""","=""26.65645372""","=""""","=""0.00000010""","=""L15349"""
"=""3s2.3p4.(3P<1>).7i""","=""2[7]""","=""15/2""",16,"=""""","=""26.65645569""","=""""","=""0.00000009""","=""L15349"""
"=""3s2.3p4.(3P<1>).7h""","=""2[5]*""","=""11/2""",12,"=""""","=""26.6571108""","=""""","=""0.0000010""","=""L15349"""
"=""3s2.3p4.(3P<1>).7h""","=""2[5]*""","=""9/2""",10,"=""""","=""26.6571109""","=""""","=""0.0000010""","=""L15349"""
"=""3s2.3p4.(3P<1>).7i""","=""2[6]""","=""13/2""",14,"=""""","=""26.65721730""","=""""","=""0.00000012""","=""L15349"""
"=""3s2.3p4.(3P<1>).7i""","=""2[6]""","=""11/2""",12,"=""""","=""26.65721872""","=""""","=""0.00000012""","=""L15349"""
"=""3s2.3p4.(1S).5s""","=""2S""","=""1/2""",2,"=""""","=""26.66475730""","=""""","=""0.00000024""","=""L15349"""
"=""3s2.3p4.(3P<0>).7g""","=""2[4]""","=""7/2""",8,"=""""","=""26.7113733""","=""""","=""0.0000010""","=""L15349"""
"=""3s2.3p4.(3P<0>).7g""","=""2[4]""","=""9/2""",10,"=""""","=""26.7114156""","=""""","=""0.0000009""","=""L15349"""
"=""3s2.3p4.(3P<0>).7h""","=""2[5]*""","=""9/2""",10,"=""""","=""26.7129920""","=""""","=""0.0000007""","=""L15349"""
"=""3s2.3p4.(3P<0>).7h""","=""2[5]*""","=""11/2""",12,"=""""","=""26.7129933""","=""""","=""0.0000006""","=""L15349"""
"=""3s2.3p4.(3P<0>).7i""","=""2[6]""","=""11/2""",12,"=""""","=""26.71346441""","=""""","=""0.00000011""","=""L15349"""
"=""3s2.3p4.(3P<0>).7i""","=""2[6]""","=""13/2""",14,"=""""","=""26.7134644""","=""""","=""0.0000012""","=""L15349"""
