obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""77.637+""","=""""","=""3.18e+02""",A,"=""0.0000""","=""15.9697""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""3/2""",4,4,M1,"=""T7370c84""","=""""",
"=""""","=""78.55+""","=""""","=""4.94e+08""",C,"=""299.790?""","=""315.575""","=""2s.2p3.(5S*).3p""","=""4P""","=""5/2""","=""2s.2p3.(5S*).3d""","=""4D*""","=""5/2""",6,6,,"=""u21,LS""","=""""",
"=""""","=""78.756+""","=""""","=""1.39e+02""",B+,"=""0.0000""","=""15.7429""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""1/2""",4,2,M1,"=""T7370c84""","=""""",
"=""""","=""80.04+""","=""""","=""5.97e+01""",B+,"=""64.5614""","=""80.052""","=""2s.2p4""","=""2D""","=""3/2""","=""2s.2p4""","=""2P""","=""1/2""",4,2,M1,"=""T7370c84""","=""""",
"=""""","=""80.04+""","=""""","=""2.51e+00""",B+,"=""64.5614""","=""80.052""","=""2s.2p4""","=""2D""","=""3/2""","=""2s.2p4""","=""2P""","=""1/2""",4,2,E2,"=""T7370c84""","=""""",
"=""""","=""80.13+""","=""""","=""2.17e+00""",B+,"=""64.5789""","=""80.052""","=""2s.2p4""","=""2D""","=""5/2""","=""2s.2p4""","=""2P""","=""1/2""",6,2,E2,"=""T7370c84""","=""""",
"=""""","=""80.20+""","=""""","=""7.73e+07""",D+,"=""299.790?""","=""315.250""","=""2s.2p3.(5S*).3p""","=""4P""","=""5/2""","=""2s.2p3.(5S*).3d""","=""4D*""","=""3/2""",6,4,,"=""u21,LS""","=""""",
"=""""","=""86.077+""","=""""","=""7.89e+01""",B+,"=""64.5614""","=""78.9653""","=""2s.2p4""","=""2D""","=""3/2""","=""2s.2p4""","=""2P""","=""3/2""",4,4,M1,"=""T7370c84""","=""""",
"=""""","=""86.182+""","=""""","=""4.29e+01""",B+,"=""64.5789""","=""78.9653""","=""2s.2p4""","=""2D""","=""5/2""","=""2s.2p4""","=""2P""","=""3/2""",6,4,M1,"=""T7370c84""","=""""",
"=""""","=""113.558+""","=""""","=""4.38e-01""",B,"=""64.5614""","=""75.4796""","=""2s.2p4""","=""2D""","=""3/2""","=""2s.2p4""","=""2S""","=""1/2""",4,2,M1,"=""T7370c84""","=""""",
"=""""","=""113.558+""","=""""","=""1.28e+01""",A,"=""64.5614""","=""75.4796""","=""2s.2p4""","=""2D""","=""3/2""","=""2s.2p4""","=""2S""","=""1/2""",4,2,E2,"=""T7370c84""","=""""",
"=""""","=""113.740+""","=""""","=""1.94e+01""",A,"=""64.5789""","=""75.4796""","=""2s.2p4""","=""2D""","=""5/2""","=""2s.2p4""","=""2S""","=""1/2""",6,2,E2,"=""T7370c84""","=""""",
"=""""","=""119.6245""","=""""","=""3.12e-02""",B+,"=""0.0000""","=""10.36445""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2D*""","=""5/2""",4,6,E2,"=""T7370c84""","=""""",
"=""119.625""","=""119.6245""","=""""","=""3.39e-01""",B+,"=""0.0000""","=""10.36445""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2D*""","=""5/2""",4,6,M1,"=""T7370c84""","=""L4474,L4779""",
"=""121.298""","=""121.2970""","=""""","=""1.53e+01""",B+,"=""0.0000""","=""10.22154""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2D*""","=""3/2""",4,4,M1,"=""T7370c84""","=""L4474,L4779""",
"=""""","=""139.2+""","=""""","=""8.15e+00""",C,"=""258.812""","=""267.717?""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",2,4,M1,"=""T7370c84""","=""""",
"=""""","=""147.6+""","=""""","=""2.56e+01""",C+,"=""259.425""","=""267.823""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",4,6,M1,"=""T7370c84""","=""""",
"=""""","=""149.5+""","=""""","=""2.72e+01""",C+,"=""259.425""","=""267.717?""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",4,4,M1,"=""T7370c84""","=""""",
