Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p2.(3P).4p""","=""4D*""","=""3/2""",4,"=""""","=""30.477387""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4p""","=""4D*""","=""5/2""",6,"=""""","=""30.4881141""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4p""","=""4D*""","=""7/2""",8,"=""""","=""30.5037449""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4p""","=""4S*""","=""3/2""",4,"=""""","=""30.5362941""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4p""","=""4P*""","=""1/2""",2,"=""""","=""30.5397984""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4p""","=""4P*""","=""5/2""",6,"=""""","=""30.5566036""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4p""","=""4P*""","=""3/2""",4,"=""""","=""30.5600365""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4p""","=""2D*""","=""3/2""",4,"=""""","=""30.749350""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4p""","=""2D*""","=""5/2""",6,"=""""","=""30.771222""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4p""","=""2P*""","=""1/2""",2,"=""""","=""30.800949""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4p""","=""2P*""","=""3/2""",4,"=""""","=""30.811970""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2F""","=""7/2""",8,"=""""","=""31.147582""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2F""","=""5/2""",6,"=""""","=""31.147904""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2G""","=""9/2""",10,"=""""","=""31.319435""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2G""","=""7/2""",8,"=""""","=""31.319581""","=""""","=""""","="""""
"=""2s2.2p2.(1S).3p""","=""2P*""","=""1/2""",2,"=""""","=""31.366419""","=""""","=""""","="""""
"=""2s2.2p2.(1S).3p""","=""2P*""","=""3/2""",4,"=""""","=""31.367183""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",4,"=""""","=""31.373797""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",6,"=""""","=""31.374055""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2P""","=""1/2""",2,"=""""","=""31.465948""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",4,"=""""","=""31.466247""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""4F""","=""3/2""",4,"=""""","=""31.533845""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""4F""","=""5/2""",6,"=""""","=""31.540144""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""4F""","=""7/2""",8,"=""""","=""31.551524""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""4F""","=""9/2""",10,"=""""","=""31.565137""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""4D""","=""1/2""",2,"=""""","=""31.596961""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""4D""","=""3/2""",4,"=""""","=""31.601262""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""4D""","=""5/2""",6,"=""""","=""31.603128""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""4D""","=""7/2""",8,"=""""","=""31.618417""","=""""","=""""","="""""
"=""2s.2p3.(5S*).3s""","=""4S*""","=""3/2""",4,"=""""","=""31.613683""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""4P""","=""5/2""",6,"=""""","=""31.628990""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""4P""","=""3/2""",4,"=""""","=""31.633627""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""4P""","=""1/2""",2,"=""""","=""31.636190""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""2P""","=""3/2""",4,"=""""","=""31.637492""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""2P""","=""1/2""",2,"=""""","=""31.650925""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""2F""","=""5/2""",6,"=""""","=""31.653427""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""2F""","=""7/2""",8,"=""""","=""31.673760""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2S""","=""1/2""",2,"=""""","=""31.693188""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f D""","=""2[3]*""","=""5/2""",6,"=""""","=""31.7015121""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f D""","=""2[3]*""","=""7/2""",8,"=""""","=""31.7016866""","=""""","=""""","="""""
