Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Fe g7D;v=3d6(5D)4s(6D)6s,Fe z3Go;v=3d7(4F)4p,5.1362e-07,-2.26839976046805
Fe g7D;v=3d6(5D)4s(6D)6s,Fe y5Po;v=3d6(5D)4s.4p(1Po),8.2178e-07,-2.0896434668653603
Fe g7D;v=3d6(5D)4s(6D)6s,Fe y5Do;v=3d7(4F)4p,8.2178e-07,-2.5111304246484805
Fe x3So;v=3d7(2P)4p,Fe z3Go;v=3d7(4F)4p,3.0906e-08,-2.26885849141987
Fe x3So;v=3d7(2P)4p,Fe y5Po;v=3d6(5D)4s.4p(1Po),3.6286e-07,-2.0901021978171803
Fe x3So;v=3d7(2P)4p,Fe a1P;v=3d7(2P)4s,4.0822e-07,-3.3119258889152
Fe x3So;v=3d7(2P)4p,Fe z5Go;v=3d7(4F)4p,8.9066e-07,-2.2965063298672304
Fe x3So;v=3d7(2P)4p,Fe y5Do;v=3d7(4F)4p,1.3063e-06,-2.5115891556003005
Fe e3H;v=3d7(4F)4d,Fe y3Do;v=3d7(4F)4p,1.0088e-07,-1.9081347875517798
Fe e3H;v=3d7(4F)4d,Fe a1P;v=3d7(2P)4s,1.1136e-07,-3.31276896201584
Fe e3H;v=3d7(4F)4d,Fe z3Po;v=3d6(5D)4s.4p(3Po),1.225e-07,-2.44170087518427
Fe e3H;v=3d7(4F)4d,Fe a3D;v=3d7(2D{2})4s,1.3611e-07,-3.4511073393232903
Fe e3H;v=3d7(4F)4d,Fe y5Po;v=3d6(5D)4s.4p(1Po),1.5879e-07,-2.0909452709178202
Fe 5Do;v=3d6(3D)4s.4p(3Po),Fe y3Do;v=3d7(4F)4p,6.5078e-08,-1.9159580100003293
Fe 5Do;v=3d6(3D)4s.4p(3Po),Fe y5Po;v=3d6(5D)4s.4p(1Po),7.9276e-08,-2.0987684933663697
Fe 5Do;v=3d6(3D)4s.4p(3Po),Fe y5Do;v=3d7(4F)4p,2.0763e-07,-2.52025545114949
Fe 5Do;v=3d6(3D)4s.4p(3Po),Fe z3Do;v=3d6(5D)4s.4p(3Po),2.1269e-07,-2.7666807592121194
Fe 5Do;v=3d6(3D)4s.4p(3Po),Fe z3Fo;v=3d6(5D)4s.4p(3Po),2.1269e-07,-2.7910678884614195
Fe t3Go;v=3d6(3G)4s.4p(3Po),Fe z5Go;v=3d7(4F)4p,1.7659e-08,-2.31034264722474
Fe t3Go;v=3d6(3G)4s.4p(3Po),Fe y5Po;v=3d6(5D)4s.4p(1Po),8.6655e-07,-2.10393851517469
Fe t3Go;v=3d6(3G)4s.4p(3Po),Fe z3Po;v=3d6(5D)4s.4p(3Po),1.5385e-06,-2.4546941194411396
Fe t3Go;v=3d6(3G)4s.4p(3Po),Fe z3Go;v=3d7(4F)4p,2.0576e-06,-2.2826948087773795
Fe t5Po;v=3d6(3D)4s.4p(3Po),Fe z3Go;v=3d7(4F)4p,1.5222e-08,-2.2906792069657698
Fe t5Po;v=3d6(3D)4s.4p(3Po),Fe y5Po;v=3d6(5D)4s.4p(1Po),1.6382e-07,-2.11192291336308
Fe t5Po;v=3d6(3D)4s.4p(3Po),Fe y3Do;v=3d7(4F)4p,6.5526e-07,-1.9291124299970397
Fe t5Po;v=3d6(3D)4s.4p(3Po),Fe z3Po;v=3d6(5D)4s.4p(3Po),1.03e-06,-2.46267851762953
Fe t5Po;v=3d6(3D)4s.4p(3Po),Fe z3Do;v=3d6(5D)4s.4p(3Po),1.5323e-06,-2.77983517920883
Fe 5Fo;v=3d6(3D)4s.4p(3Po),Fe b3H;v=3d7(2H)4s,1.5691e-08,-3.5327728550624298
Fe 5Fo;v=3d6(3D)4s.4p(3Po),Fe a3G;v=3d7(2G)4s,7.8248e-08,-4.010907878146179
Fe 5Fo;v=3d6(3D)4s.4p(3Po),Fe z5Do;v=3d6(5D)4s.4p(3Po),8.5626e-08,-3.49550505657889
Fe 5Fo;v=3d6(3D)4s.4p(3Po),Fe a1D;v=3d7(2D{2})4s,1.5264e-07,-3.22298167679801
Fe 5Fo;v=3d6(3D)4s.4p(3Po),Fe b1G{2};v=3d6.4s2,1.791e-07,-3.0749107644317397
Fe f3F;v=3d7(4F)4d,Fe a1G;v=3d7(2G)4s,1.7422e-08,-3.7487245419819497
Fe f3F;v=3d7(4F)4d,Fe a1H;v=3d7(2H)4s,5.9524e-08,-3.22238656637403
Fe f3F;v=3d7(4F)4d,Fe b1G{2};v=3d6.4s2,1.2579e-07,-3.1010212342838197
Fe f3F;v=3d7(4F)4d,Fe b3H;v=3d7(2H)4s,1.4025e-07,-3.5588833249145098
Fe f3F;v=3d7(4F)4d,Fe b3G;v=3d6.4s2,2.1008e-07,-3.84680382311451
Fe w1Go;v=3d6(3G)4s.4p(3Po),Fe y5Po;v=3d6(5D)4s.4p(1Po),2.6585e-07,-2.1825302855414197
Fe w1Go;v=3d6(3G)4s.4p(3Po),Fe z3Go;v=3d7(4F)4p,3.5131e-07,-2.3612865791441093
Fe w1Go;v=3d6(3G)4s.4p(3Po),Fe z3Do;v=3d6(5D)4s.4p(3Po),3.7833e-07,-2.8504425513871694
Fe w1Go;v=3d6(3G)4s.4p(3Po),Fe z3Fo;v=3d6(5D)4s.4p(3Po),6.5578e-07,-2.8748296806364695
Fe w1Go;v=3d6(3G)4s.4p(3Po),Fe z5Go;v=3d7(4F)4p,1.171e-06,-2.3889344175914697
Fe e3P;v=3d7(4F)4d,Fe z3Fo;v=3d6(5D)4s.4p(3Po),3.5714e-07,-2.9059737928247
Fe e3P;v=3d7(4F)4d,Fe y5Po;v=3d6(5D)4s.4p(1Po),3.0303e-06,-2.2136743977296502
Fe s3Go;v=3d6(1G{2})4s.4p(3Po),Fe a1H;v=3d7(2H)4s,1.5595e-08,-3.3011271143467398
Fe s3Go;v=3d6(1G{2})4s.4p(3Po),Fe a3G;v=3d7(2G)4s,2.4381e-08,-4.11575889597097
Fe s3Go;v=3d6(1G{2})4s.4p(3Po),Fe a1G;v=3d7(2G)4s,8.9011e-08,-3.8274650899546594
Fe s3Go;v=3d6(1G{2})4s.4p(3Po),Fe a3P{2};v=3d6.4s2,9.0722e-08,-4.42088936773237
Fe s3Go;v=3d6(1G{2})4s.4p(3Po),Fe b3H;v=3d7(2H)4s,1.0997e-07,-3.6376238728872194
Fe v3Ho;v=3d6(1G{2})4s.4p(3Po),Fe a1D;v=3d7(2D{2})4s,6.6667e-09,-3.36604374309579
Fe v3Ho;v=3d6(1G{2})4s.4p(3Po),Fe z5Do;v=3d6(5D)4s.4p(3Po),3.7037e-08,-3.6385671228766703
Fe v3Ho;v=3d6(1G{2})4s.4p(3Po),Fe z5Fo;v=3d6(5D)4s.4p(3Po),6.25e-08,-3.49766233186581
Fe v3Ho;v=3d6(1G{2})4s.4p(3Po),Fe a1I;v=3d6.4s2,1.0101e-07,-3.27734749365526
Fe v3Ho;v=3d6(1G{2})4s.4p(3Po),Fe b1D{2};v=3d6.4s2,6.25e-07,-2.61816450586021
Fe w1Do;v=3d7(2D{2})4p,Fe a1D;v=3d7(2D{2})4s,3.7019e-08,-3.37056906194479
Fe w1Do;v=3d7(2D{2})4p,Fe a1H;v=3d7(2H)4s,3.8365e-08,-3.34386348166873
Fe w1Do;v=3d7(2D{2})4p,Fe a3G;v=3d7(2G)4s,5.0845e-08,-4.158495263292959
Fe w1Do;v=3d7(2D{2})4p,Fe a1G;v=3d7(2G)4s,1.3657e-07,-3.8702014572766497
Fe w1Do;v=3d7(2D{2})4p,Fe b3F{2};v=3d6.4s2,1.4281e-07,-4.30856227520633
Fe 1Ho;v=3d7(2H)4p,Fe a1H;v=3d7(2H)4s,2.9884e-08,-3.35830730758406
Fe 1Ho;v=3d7(2H)4p,Fe a3G;v=3d7(2G)4s,3.0085e-08,-4.17293908920829
Fe 1Ho;v=3d7(2H)4p,Fe a3P{2};v=3d6.4s2,7.838e-08,-4.47806956096969
Fe 1Ho;v=3d7(2H)4p,Fe a1G;v=3d7(2G)4s,1.554e-07,-3.8846452831919795
Fe 1Ho;v=3d7(2H)4p,Fe b3F{2};v=3d6.4s2,1.6516e-07,-4.32300610112166
Fe 1Fo;v=3d6(3G)4s.4p(3Po),Fe a3G;v=3d7(2G)4s,2.7472e-08,-4.196569932293789
Fe 1Fo;v=3d6(3G)4s.4p(3Po),Fe a1D;v=3d7(2D{2})4s,4.5454e-08,-3.4086437309456197
Fe 1Fo;v=3d6(3G)4s.4p(3Po),Fe a1G;v=3d7(2G)4s,5.4054e-08,-3.9082761262774794
Fe 1Fo;v=3d6(3G)4s.4p(3Po),Fe b3G;v=3d6.4s2,1.3175e-07,-4.006355407410039
Fe u3Ho;v=3d6(1I)4s.4p(3Po),Fe a3P{2};v=3d6.4s2,2.8769e-08,-4.542056329681261
Fe u3Ho;v=3d6(1I)4s.4p(3Po),Fe b3H;v=3d7(2H)4s,3.861e-08,-3.7587908348361103
Fe u3Ho;v=3d6(1I)4s.4p(3Po),Fe a3G;v=3d7(2G)4s,5.3533e-08,-4.236925857919861
Fe u3Ho;v=3d6(1I)4s.4p(3Po),Fe a1H;v=3d7(2H)4s,9.3458e-08,-3.4222940762956306
Fe u3Ho;v=3d6(1I)4s.4p(3Po),Fe z5Do;v=3d6(5D)4s.4p(3Po),1.6207e-07,-3.7215230363525706
Fe u3Fo;v=3d6(1G{2})4s.4p(3Po),Fe z5Fo;v=3d6(5D)4s.4p(3Po),1.8116e-08,-3.6345997200501396
Fe u3Fo;v=3d6(1G{2})4s.4p(3Po),Fe z5Do;v=3d6(5D)4s.4p(3Po),2.6857e-08,-3.775504511061
Fe u3Fo;v=3d6(1G{2})4s.4p(3Po),Fe a1H;v=3d7(2H)4s,3.942e-08,-3.47627555100406
Fe u3Fo;v=3d6(1G{2})4s.4p(3Po),Fe b3F{2};v=3d6.4s2,1.0194e-07,-4.44097434454166
Fe u3Fo;v=3d6(1G{2})4s.4p(3Po),Fe b3G;v=3d6.4s2,1.3607e-07,-4.10069280774454
Fe v1Go;v=3d7(2H)4p,Fe a1H;v=3d7(2H)4s,9.1743e-09,-3.4877562229333203
Fe v1Go;v=3d7(2H)4p,Fe z5Do;v=3d6(5D)4s.4p(3Po),6.1728e-08,-3.7869851829902603
Fe v1Go;v=3d7(2H)4p,Fe a3P{2};v=3d6.4s2,5.9172e-07,-4.60751847631895
Fe x3Io;v=3d6(1I)4s.4p(3Po),Fe b3H;v=3d7(2H)4s,2.2247e-08,-3.8432097281043
Fe x3Io;v=3d6(1I)4s.4p(3Po),Fe a3P{2};v=3d6.4s2,9.0909e-08,-4.62647522294945
Fe x3Io;v=3d6(1I)4s.4p(3Po),Fe a1H;v=3d7(2H)4s,4.5455e-07,-3.50671296956382
Fe t3Fo;v=3d6(3D)4s.4p(3Po),Fe b3F{2};v=3d6.4s2,1.0948e-08,-4.5379649455164
Fe t3Fo;v=3d6(3D)4s.4p(3Po),Fe a3G;v=3d7(2G)4s,4.1667e-08,-4.38789793360303
Fe t3Fo;v=3d6(3D)4s.4p(3Po),Fe a3P{2};v=3d6.4s2,1.297e-07,-4.69302840536443
Fe t3Fo;v=3d6(3D)4s.4p(3Po),Fe b3G;v=3d6.4s2,2.8818e-07,-4.19768340871928
Fe i5D;v=3d6(5D)4s(4D)4d,Fe a3D;v=3d7(2D{2})4s,1.0256e-08,-3.8959399831137405
Fe i5D;v=3d6(5D)4s(4D)4d,Fe b3D;v=3d6.4s2,3.7037e-08,-3.50140656828334
Fe i5D;v=3d6(5D)4s(4D)4d,Fe y5Do;v=3d7(4F)4p,1.9608e-07,-2.9572648724913906
Fe i5D;v=3d6(5D)4s(4D)4d,Fe y3Fo;v=3d7(4F)4p,5.5556e-07,-2.54961423206578
Fe i5D;v=3d6(5D)4s(4D)4d,Fe y7Po;v=3d5(6S)4s2.4p,2.2222e-06,-2.1675409417374407
Fe g5G;v=3d6(5D)4s(4D)4d,Fe y3Fo;v=3d7(4F)4p,3.0303e-07,-2.5792457719263995
Fe 5P;v=3d6.4s(4D)4d,Fe z3Po;v=3d6(5D)4s.4p(3Po),1.3333e-07,-2.9920044434911697
Fe 5P;v=3d6.4s(4D)4d,Fe z5So;v=3d6(3P{2})4s.4p(3Po),1.9608e-07,-2.1937505966601902
Fe 3Io;v=3d6(3H)4s.4p(1Po),Fe a3P{2};v=3d6.4s2,2.0379e-09,-4.8721566429821
Fe 3Io;v=3d6(3H)4s.4p(1Po),Fe b3H;v=3d7(2H)4s,1.1976e-07,-4.08889114813695
Fe t3Ho;v=3d6(3H)4s.4p(1Po),Fe b3F{2};v=3d6.4s2,2.0576e-09,-4.9003128049166005
Fe t3Ho;v=3d6(3H)4s.4p(1Po),Fe a3G;v=3d7(2G)4s,2.1739e-08,-4.750245793003231
Fe r3Go;v=3d6(3F{2})4s.4p(1Po),Fe a3P{2};v=3d6.4s2,3.2051e-09,-5.07942864440045
Fe r3Go;v=3d6(3F{2})4s.4p(1Po),Fe b3H;v=3d7(2H)4s,6.5359e-09,-4.2961631495553
Fe r3Go;v=3d6(3F{2})4s.4p(1Po),Fe b3F{2};v=3d6.4s2,1.8904e-08,-4.92436518455242
