Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Fe 1Do;v=3d6(3P{2})4s.4p(3Po),Fe c3P;v=3d7(2P)4s,9.8176e-08,-2.78511678422164
Fe 1Do;v=3d6(3P{2})4s.4p(3Po),Fe a5P;v=3d7(4P)4s,6.347e-07,-3.67334388827794
Fe 1Do;v=3d6(3P{2})4s.4p(3Po),Fe a1I;v=3d6.4s2,6.4289e-07,-2.26087409323149
Fe z1Go;v=3d7(2G)4p,Fe a5F;v=3d7(4F)4s,6.9788e-08,-4.9191443303953895
Fe z1Go;v=3d7(2G)4p,Fe a3G;v=3d7(2G)4s,1.402e-07,-3.1716658008636496
Fe z1Go;v=3d7(2G)4p,Fe b3F{2};v=3d6.4s2,2.2372e-07,-3.32173281277702
Fe z1Go;v=3d7(2G)4p,Fe a3F;v=3d7(4F)4s,3.9458e-07,-4.4453460504799
Fe z1Go;v=3d7(2G)4p,Fe c3F;v=3d8,7.793e-07,-1.8544592987798998
Fe y3So;v=3d7(4P)4p,Fe b3F{2};v=3d6.4s2,2.5815e-07,-3.32210475679201
Fe y3So;v=3d7(4P)4p,Fe a5F;v=3d7(4F)4s,4.0247e-07,-4.9195162744103795
Fe y3So;v=3d7(4P)4p,Fe a3G;v=3d7(2G)4s,5.0253e-07,-3.1720377448786397
Fe y3So;v=3d7(4P)4p,Fe a3F;v=3d7(4F)4s,6.0845e-07,-4.44571799449489
Fe y3So;v=3d7(4P)4p,Fe a1G;v=3d7(2G)4s,1.1734e-06,-2.8837439388623296
Fe v5Fo;v=3d6(3G)4s.4p(3Po),Fe z5Go;v=3d7(4F)4p,5.7847e-08,-1.5330168503036905
Fe v5Fo;v=3d6(3G)4s.4p(3Po),Fe z3Po;v=3d6(5D)4s.4p(3Po),6.8431e-08,-1.6773683225200902
Fe v5Fo;v=3d6(3G)4s.4p(3Po),Fe y5Do;v=3d7(4F)4p,1.7775e-07,-1.7480996760367606
Fe v5Fo;v=3d6(3G)4s.4p(3Po),Fe a3D;v=3d7(2D{2})4s,3.9104e-07,-2.6867747866591105
Fe v5Fo;v=3d6(3G)4s.4p(3Po),Fe a1P;v=3d7(2P)4s,8.1467e-07,-2.5484364093516603
Fe x3Go;v=3d6(3F{2})4s.4p(3Po),Fe a5P;v=3d7(4P)4s,1.0623e-08,-3.7643833850128905
Fe x3Go;v=3d6(3F{2})4s.4p(3Po),Fe z7Fo;v=3d6(5D)4s.4p(3Po),2.5603e-07,-3.1290534148799902
