obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""4.0904""","=""""","=""1.24e+11""",D+,"=""44.0238""","=""347.13""","=""2s.2p3""","=""3D*""","=""2""","=""2s.2p2.(2P).3d""","=""3D""","=""3""",5,7,,"=""T5052""","=""""",
"=""4.0911""","=""4.0909""","=""20""","=""4.79e+11""",C,"=""44.058""","=""347.13""","=""2s.2p3""","=""3D*""","=""3""","=""2s.2p2.(2P).3d""","=""3D""","=""3""",7,7,,"=""T5052""","=""L7069""",
"=""""","=""4.11663""","=""""","=""2.11e+09""",C,"=""16.4811""","=""317.660""","=""2s2.2p2""","=""1S""","=""0""","=""2s2.2p.3d""","=""3P*""","=""1""",1,3,,"=""u31""","=""""",
"=""4.1386""","=""4.1386""","=""40""","=""9.17e+11""",C,"=""44.058""","=""343.63""","=""2s.2p3""","=""3D*""","=""3""","=""2s.2p2.(4P).3d""","=""3F""","=""4""",7,9,,"=""T5052""","=""L7069""",
"=""""","=""4.13995""","=""""","=""7.89e+09""",C,"=""16.4811""","=""315.964""","=""2s2.2p2""","=""1S""","=""0""","=""2s2.2p.3d""","=""3D*""","=""1""",1,3,,"=""u31""","=""""",
"=""4.1474""","=""4.1474""","=""30""","=""8.29e+11""",C,"=""44.0238""","=""342.97""","=""2s.2p3""","=""3D*""","=""2""","=""2s.2p2.(4P).3d""","=""3F""","=""3""",5,7,,"=""T5052""","=""L7069""",
"=""""","=""4.1479""","=""""","=""8.14e+10""",D+,"=""44.058""","=""342.97""","=""2s.2p3""","=""3D*""","=""3""","=""2s.2p2.(4P).3d""","=""3F""","=""3""",7,7,,"=""T5052""","=""""",
"=""""","=""4.1538""","=""""","=""1.29e+11""",D+,"=""44.0238""","=""342.51""","=""2s.2p3""","=""3D*""","=""2""","=""2s.2p2.(4P).3d""","=""3F""","=""2""",5,5,,"=""T5052""","=""""",
"=""4.1543""","=""4.1543""","=""30""","=""7.70e+11""",C,"=""44.0595""","=""342.51""","=""2s.2p3""","=""3D*""","=""1""","=""2s.2p2.(4P).3d""","=""3F""","=""2""",3,5,,"=""T5052""","=""L7069""",
"=""""","=""4.1543""","=""""","=""1.55e+09""",E',"=""44.058""","=""342.51""","=""2s.2p3""","=""3D*""","=""3""","=""2s.2p2.(4P).3d""","=""3F""","=""2""",7,5,,"=""T5052""","=""""",
"=""4.1829""","=""4.18292""","=""10""","=""1.41e+12""",C,"=""65.7336""","=""362.139""","=""2s.2p3""","=""1D*""","=""2""","=""2s.2p2.(2D).3d""","=""1D""","=""2""",5,5,,"=""T5052""","=""L7069""",
"=""4.1970""","=""4.1975""","=""10bl""","=""8.44e+11""",C,"=""51.7534""","=""347.13""","=""2s.2p3""","=""3P*""","=""2""","=""2s.2p2.(2P).3d""","=""3D""","=""3""",5,7,,"=""T5052""","=""L7069""",
"=""4.2342""","=""4.2342""","=""30""","=""6.48e+11""",C,"=""65.7336""","=""358.55""","=""2s.2p3""","=""1D*""","=""2""","=""2s.2p2.(2D).3d""","=""1F""","=""3""",5,7,,"=""T5052""","=""L7069""",
"=""""","=""4.26428""","=""""","=""2.03e+09""",C,"=""0.0000""","=""290.750""","=""2s2.2p2""","=""3P""","=""0""","=""2s2.2p.3s""","=""1P*""","=""1""",1,3,,"=""u31""","=""""",
"=""""","=""4.27377""","=""""","=""3.94e+09""",C,"=""0.64571""","=""290.750""","=""2s2.2p2""","=""3P""","=""1""","=""2s2.2p.3s""","=""1P*""","=""1""",3,3,,"=""u31""","=""""",
"=""4.2751""","=""4.27510""","=""30""","=""1.80e+11""",B,"=""23.0922+x""","=""313.107+x""","=""2s.2p3""","=""5S*""","=""2""","=""2s.2p2.(4P).3s""","=""5P""","=""3""",5,7,,"=""u31""","=""L7069""",
"=""""","=""4.28234""","=""""","=""4.16e+10""",D+,"=""44.0238""","=""333.548?""","=""2s.2p3""","=""3D*""","=""2""","=""2s.2p2.(2D).3s""","=""3D""","=""3""",5,7,,"=""T5052""","=""""",
"=""""","=""4.2828""","=""""","=""2.15e+11""",D+,"=""44.058""","=""333.548?""","=""2s.2p3""","=""3D*""","=""3""","=""2s.2p2.(2D).3s""","=""3D""","=""3""",7,7,,"=""T5052""","=""""",
"=""4.2865""","=""4.28649""","=""10bl""","=""1.76e+11""",B,"=""23.0922+x""","=""312.336+x""","=""2s.2p3""","=""5S*""","=""2""","=""2s.2p2.(4P).3s""","=""5P""","=""2""",5,5,,"=""u31""","=""L7069""",
