obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""13.27153""","=""0.00018""","=""""","=""7.00e+09""",AA,"=""(1071.7548)""","=""(1165.1760)""","=""1s.3p""","=""3P*""","=""0""","=""1s.6d""","=""3D""","=""1""",1,3,,"=""T7543LS""","=""""",
"=""""","=""13.28100""","=""0.00018""","=""""","=""1.258e+10""",AA,"=""(1071.8243)""","=""(1165.1789)""","=""1s.3p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T7543LS""","=""""",
"=""""","=""13.28133""","=""0.00018""","=""""","=""3.14e+09""",AA,"=""(1071.8243)""","=""(1165.1765)""","=""1s.3p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T7543LS""","=""""",
"=""""","=""13.28140""","=""0.00018""","=""""","=""3.49e+08""",AA,"=""(1071.8243)""","=""(1165.1760)""","=""1s.3p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""1""",5,3,,"=""T7543LS""","=""""",
"=""""","=""13.27322""","=""0.00018""","=""""","=""9.45e+09""",AA,"=""(1071.7672)""","=""(1165.1765)""","=""1s.3p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",3,5,,"=""T7543LS""","=""""",
"=""""","=""13.27329""","=""0.00018""","=""""","=""5.25e+09""",AA,"=""(1071.7672)""","=""(1165.1760)""","=""1s.3p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""1""",3,3,,"=""T7543LS""","=""""",
"=""""","=""13.27135""","=""0.00024""","=""""","=""6.05e+09""",AA,"=""(1071.8138)""","=""(1165.2362)""","=""1s.3s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""13.30519""","=""0.00024""","=""""","=""4.53e+06""",AA,"=""(1071.8138)""","=""(1164.9986)""","=""1s.3s""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""13.49879""","=""0.00018""","=""""","=""1.115e+10""",AA,"=""(1073.3429)""","=""(1165.1913)""","=""1s.3d""","=""1D""","=""2""","=""1s.6f""","=""1F*""","=""3""",5,7,,"=""T7543""","=""""",
"=""""","=""13.51304""","=""0.00015""","=""""","=""6.16e+06""",AA,"=""(1073.2542)""","=""(1165.0057)""","=""1s.3d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T7543LS""","=""""",
"=""""","=""13.51408""","=""0.00015""","=""""","=""1.540e+08""",AA,"=""(1073.2542)""","=""(1164.9986)""","=""1s.3d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T7543LS""","=""""",
"=""""","=""13.51432""","=""0.00015""","=""""","=""6.16e+08""",AA,"=""(1073.2542)""","=""(1164.9970)""","=""1s.3d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T7543LS""","=""""",
"=""""","=""13.51345""","=""0.00015""","=""""","=""9.23e+07""",AA,"=""(1073.2570)""","=""(1165.0057)""","=""1s.3d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""2""",5,5,,"=""T7543LS""","=""""",
"=""""","=""13.51450""","=""0.00015""","=""""","=""4.62e+08""",AA,"=""(1073.2570)""","=""(1164.9986)""","=""1s.3d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""1""",5,3,,"=""T7543LS""","=""""",
"=""""","=""13.51627""","=""0.00016""","=""""","=""5.17e+08""",AA,"=""(1073.2761)""","=""(1165.0057)""","=""1s.3d""","=""3D""","=""3""","=""1s.6p""","=""3P*""","=""2""",7,5,,"=""T7543LS""","=""""",
"=""""","=""13.49218""","=""0.00015""","=""""","=""4.76e+08""",AA,"=""(1073.3429)""","=""(1165.2362)""","=""1s.3d""","=""1D""","=""2""","=""1s.6p""","=""1P*""","=""1""",5,3,,"=""T7543""","=""""",
"=""""","=""15.0655""","=""0.0003""","=""""","=""1.038e+10""",AA,"=""(1069.1011)""","=""(1151.3976)""","=""1s.3s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""2""",3,5,,"=""T7543LS""","=""""",
"=""""","=""15.0683""","=""0.0003""","=""""","=""1.038e+10""",AA,"=""(1069.1011)""","=""(1151.3825)""","=""1s.3s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""0""",3,1,,"=""T7543LS""","=""""",
"=""""","=""15.0678""","=""0.0003""","=""""","=""1.038e+10""",AA,"=""(1069.1011)""","=""(1151.3854)""","=""1s.3s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",3,3,,"=""T7543LS""","=""""",
"=""""","=""15.5009""","=""0.0003""","=""""","=""1.021e+10""",AA,"=""(1071.8138)""","=""(1151.7987)""","=""1s.3s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""15.5095""","=""0.0004""","=""""","=""1.249e+10""",AA,"=""(1071.7548)""","=""(1151.6954)""","=""1s.3p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",1,3,,"=""T7543LS""","=""""",
