obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""78.008""","=""m""","=""2.99e+08""",B,"=""185.8607""","=""201.755""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.3d""","=""3P*""","=""2""",5,5,,"=""T7663c84""","=""L5875""",
"=""""","=""78.263+""","=""""","=""1.27e+08""",C+,"=""185.4616""","=""201.3036""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.3d""","=""3P*""","=""0""",3,1,,"=""T7663c84""","=""""",
"=""78.564""","=""78.564""","=""50""","=""2.43e+08""",B,"=""170.0795""","=""185.8607""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""1D""","=""2""",5,5,,"=""T7663c84""","=""L5875""",
"=""""","=""78.76+""","=""""","=""6.57e+07""",B,"=""186.0118""","=""201.755""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.3d""","=""3P*""","=""2""",3,5,,"=""T7663c84""","=""""",
"=""79.30""","=""79.276""","=""""","=""2.34e+08""",B+,"=""185.8066""","=""201.4462""","=""2s2.2p5.3p""","=""3P""","=""0""","=""2s2.2p5.3d""","=""3P*""","=""1""",1,3,,"=""T7663c84""","=""L4683""",
"=""""","=""79.551+""","=""""","=""1.22e+08""",C+,"=""185.8607""","=""201.4462""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.3d""","=""3P*""","=""1""",5,3,,"=""T7663c84""","=""""",
"=""""","=""80.330+""","=""""","=""1.59e+08""",B+,"=""186.0118""","=""201.4462""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.3d""","=""3P*""","=""1""",3,3,,"=""T7663c84""","=""""",
"=""""","=""80.594+""","=""""","=""7.55e+07""",B+,"=""170.6279""","=""186.0118""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""1""",3,3,,"=""T7663c84""","=""""",
"=""""","=""80.603+""","=""""","=""7.12e+07""",B,"=""170.0795""","=""185.4616""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""1P""","=""1""",5,3,,"=""T7663c84""","=""""",
"=""""","=""81.079+""","=""""","=""4.82e+08""",B+,"=""186.0118""","=""201.3036""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.3d""","=""3P*""","=""0""",3,1,,"=""T7663c84""","=""""",
"=""""","=""81.393+""","=""""","=""2.55e+08""",B,"=""170.6279""","=""185.8607""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""1D""","=""2""",3,5,,"=""T7663c84""","=""""",
"=""81.681""","=""81.683""","=""100""","=""1.83e+09""",B+,"=""170.6279""","=""185.8066""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""0""",3,1,,"=""T7663c84""","=""L5875""",
"=""82.843""","=""82.842""","=""150""","=""1.00e+09""",B+,"=""170.0795""","=""185.0459""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3P""","=""2""",5,5,,"=""T7663c84""","=""L5875""",
"=""""","=""83.583+""","=""""","=""8.51e+07""",B,"=""170.6279""","=""185.4616""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""1P""","=""1""",3,3,,"=""T7663c84""","=""""",
"=""84.405""","=""84.402""","=""120bl""","=""6.51e+08""",B+,"=""171.3220""","=""186.0118""","=""2s2.2p5.3s""","=""3P*""","=""0""","=""2s2.2p5.3p""","=""3P""","=""1""",1,3,,"=""T7663c84""","=""L5875""",
"=""85.993""","=""85.993""","=""60""","=""5.09e+08""",B+,"=""170.6279""","=""185.0459""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""2""",3,5,,"=""T7663c84""","=""L5875""",
"=""""","=""86.033+""","=""""","=""2.00e+08""",B+,"=""170.0795""","=""184.4908""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3D""","=""1""",5,3,,"=""T7663c84""","=""""",
"=""87.683""","=""87.685""","=""""","=""6.67e+08""",B,"=""171.3220""","=""185.4616""","=""2s2.2p5.3s""","=""3P*""","=""0""","=""2s2.2p5.3p""","=""1P""","=""1""",1,3,,"=""T7663c84""","=""L4294""",
"=""88.774""","=""88.775""","=""200""","=""6.42e+08""",B+,"=""170.0795""","=""184.0456""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3D""","=""2""",5,5,,"=""T7663c84""","=""L5875""",
"=""89.324""","=""89.328""","=""80""","=""7.10e+08""",B,"=""172.1321""","=""186.0118""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""1""",3,3,,"=""T7663c84""","=""L5875""",
"=""89.435""","=""89.436""","=""70""","=""1.10e+09""",B+,"=""170.6279""","=""184.4908""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""1""",3,3,,"=""T7663c84""","=""L5875""",
